id,name_ja,move_index,move_ja,move_ko,move_en,move_zh_hans,move_zh_hant,url_ja
1,ガッチモン,1,ディープサーチ,디프 서치,Deep Search,深度搜索,深度搜索,https://digimon.net/appmon/detail.php?id=1
1,ガッチモン,2,ガッチクロー,서치 클로,Matching Claw,盖奇爪,蓋奇銳爪,https://digimon.net/appmon/detail.php?id=1
2,コールモン,1,コネクトライン,커넥트 라인,Connection Line,牵线搭桥,連線攻擊,https://digimon.net/appmon/detail.php?id=2
2,コールモン,2,ノイジーコーリング,노이지 콜링,Annoying Call,骚扰寻呼,喧鬧呼叫,https://digimon.net/appmon/detail.php?id=2
3,メールモン,1,メールダーツ,메일 다트,Mail Darts,电邮飞镖,郵件飛鏢,https://digimon.net/appmon/detail.php?id=3
3,メールモン,2,トラブルポスト,트러블 포스트,Trouble Post,捣蛋邮件,麻煩信件,https://digimon.net/appmon/detail.php?id=3
4,ツブモン,1,ツイボム,트위 봄,Social Bomb,发文炸弹,發文炸彈,https://digimon.net/appmon/detail.php?id=4
4,ツブモン,2,イイネラッシュ,좋아요 러시,Thumb Rush,轰炸式连赞,點讚突進,https://digimon.net/appmon/detail.php?id=4
5,ゲンゴーモン,1,バベルシャベル,바벨 샤베루,Babble Gabble,巴别演讲,巴別塔語言,https://digimon.net/appmon/detail.php?id=5
5,ゲンゴーモン,2,バベルダマル,바벨 다마루,Babble Stop,巴别沉默,沉默巴別塔,https://digimon.net/appmon/detail.php?id=5
6,アドモン,1,アドリサーチ,어드 리서치,Search Address,搜索联系人,通訊錄搜索,https://digimon.net/appmon/detail.php?id=6
6,アドモン,2,アドデリート,어드 딜리트,Delete Address,删除联系人,通訊錄刪除,https://digimon.net/appmon/detail.php?id=6
7,レビューモン,1,ポストレビュー,포스트 리뷰,Bold Review,前瞻点评,事後評定,https://digimon.net/appmon/detail.php?id=7
7,レビューモン,2,最悪の評価,최악의 평가,Zero out of Ten,扎心大差评,最低評價,https://digimon.net/appmon/detail.php?id=7
8,セットモン,1,クイックセットアップ,퀵 셋업,Quick Setup,快速设置,快速設定,https://digimon.net/appmon/detail.php?id=8
8,セットモン,2,ピーキーセッティング,피키 세팅,Peaky Settings,极限详细设置,衰弱設定,https://digimon.net/appmon/detail.php?id=8
9,メッセモン,1,メッセストリームアタック,메시 스트림 어택,Message Flood,短信风暴,訊息奔流攻擊,https://digimon.net/appmon/detail.php?id=9
9,メッセモン,2,コトダマレイン,고토다마 레인,Word Rain,言灵之雨,言靈之雨,https://digimon.net/appmon/detail.php?id=9
10,コソモン,1,イドバタペーパー,이도바타 페이퍼,Chatter Paper,嚼舌根问卷,閒話投書,https://digimon.net/appmon/detail.php?id=10
10,コソモン,2,コッソリワーク,소곤소곤 워크,Stealth Work,暗中行事,黑箱操作,https://digimon.net/appmon/detail.php?id=10
11,ロケットモン,1,ロケットバースト,로켓 버스트,Rocket Burst,火箭爆发,火箭爆裂,https://digimon.net/appmon/detail.php?id=11
11,ロケットモン,2,オーバードブースト,오버드 부스트,Overboost,超限加速,超載噴射,https://digimon.net/appmon/detail.php?id=11
12,ナビモン,1,ナビゲーションアロー,내비게이션 애로,Navi-Arrow,制导箭,導航箭頭,https://digimon.net/appmon/detail.php?id=12
12,ナビモン,2,ショックアタックマーカー,쇼크 어택 마커,Marker Attack,冲击目标锁定,震撼攻擊標記,https://digimon.net/appmon/detail.php?id=12
13,ジェットモン,1,ホーミングインパクト,호밍 임팩트,Homing Impact,追踪冲击,歸航衝擊,https://digimon.net/appmon/detail.php?id=13
13,ジェットモン,2,ラプターウィング,랩터 윙,Raptor Wing,迅鹰飞翼,猛禽之翼,https://digimon.net/appmon/detail.php?id=13
14,レッシャモン,1,スイッチングレール,스위칭 레일,Rail Switch,轨道转换,切換軌道,https://digimon.net/appmon/detail.php?id=14
14,レッシャモン,2,トレイルスラム,트레일 슬램,Track Slam,追尾猛击,徑路撞擊,https://digimon.net/appmon/detail.php?id=14
15,ウェザーモン,1,プチプチウェザー,톡톡 웨더,Bubbly Weather,晴朗好天气,雷雲蓄勢,https://digimon.net/appmon/detail.php?id=15
