id,name_ja,name_ko,grade_ja,grade_ko,grade_en,grade_zh_hans,grade_zh_hant
1,ガッチモン,서치몬,並,스탠다드,Standard,普,普
2,コールモン,콜몬,並,스탠다드,Standard,普,普
3,メールモン,메일몬,並,스탠다드,Standard,普,普
4,ツブモン,츠부몬,並,스탠다드,Standard,普,普
5,ゲンゴーモン,언어몬,並,스탠다드,Standard,普,普
6,アドモン,어드몬,並,스탠다드,Standard,普,普
7,レビューモン,리뷰몬,並,스탠다드,Standard,普,普
8,セットモン,세팅몬,並,스탠다드,Standard,普,普
9,メッセモン,메시몬,並,스탠다드,Standard,普,普
10,コソモン,속닥몬,並,스탠다드,Standard,普,普
11,ロケットモン,로켓몬,並,스탠다드,Standard,普,普
12,ナビモン,내비몬,並,스탠다드,Standard,普,普
13,ジェットモン,제트몬,並,스탠다드,Standard,普,普
14,レッシャモン,열차몬,並,스탠다드,Standard,普,普
15,ウェザーモン,웨더몬,並,스탠다드,Standard,普,普
16,コンパスモン,컴퍼스몬,並,스탠다드,Standard,普,普
17,ヤドモン,호텔몬,並,스탠다드,Standard,普,普
18,ニュースモン,뉴스몬,並,스탠다드,Standard,普,普
19,チュートモン,튜토몬,並,스탠다드,Standard,普,普
20,エムシーモン,엠시몬,並,스탠다드,Standard,普,普
21,キャメラモン,카메라몬,並,스탠다드,Standard,普,普
22,レコモン,레코몬,並,스탠다드,Standard,普,普
23,カリキュモン,칼큐몬,並,스탠다드,Standard,普,普
24,ゴミモン,트래쉬몬,並,스탠다드,Standard,普,普
25,ミラーモン,미러몬,並,스탠다드,Standard,普,普
26,ライトモン,라이트몬,並,스탠다드,Standard,普,普
27,ウォッチモン,워치몬,並,스탠다드,Standard,普,普
28,ダイアリモン,다이어리몬,並,스탠다드,Standard,普,普
29,カレンダモン,캘린더몬,並,스탠다드,Standard,普,普
30,オンパモン,음파몬,並,스탠다드,Standard,普,普
31,ジャミングモン,재밍몬,並,스탠다드,Standard,普,普
32,プロテクモン,프로텍몬,並,스탠다드,Standard,普,普
33,ハックモン,핵몬,並,스탠다드,Standard,普,普
34,バッテリモン,배터리몬,並,스탠다드,Standard,普,普
35,ペコモン,페코몬,並,스탠다드,Standard,普,普
36,ポコモン,포코몬,並,스탠다드,Standard,普,普
37,コピペモン,카피페몬,並,스탠다드,Standard,普,普
38,セーブモン,세이브몬,並,스탠다드,Standard,普,普
39,カベモン,월몬,並,스탠다드,Standard,普,普
40,エコモン,에코몬,並,스탠다드,Standard,普,普
41,ピーポモン,삐뽀몬,並,스탠다드,Standard,普,普
42,デンパモン,시그널몬,並,스탠다드,Standard,普,普
43,オンモン,온몬,並,스탠다드,Standard,普,普
44,オフモン,오프몬,並,스탠다드,Standard,普,普
45,ドカモン,콰광몬,並,스탠다드,Standard,普,普
46,ショットモン,샷몬,並,스탠다드,Standard,普,普
47,カードモン,카드몬,並,스탠다드,Standard,普,普
48,ロープレモン,롤플레잉몬,並,스탠다드,Standard,普,普
49,パズルモン,퍼즐몬,並,스탠다드,Standard,普,普
50,ダンスモン,댄스몬,並,스탠다드,Standard,普,普
51,レースモン,레이스몬,並,스탠다드,Standard,普,普
52,ドローモン,드로몬,並,스탠다드,Standard,普,普
53,テラーモン,텔러몬,並,스탠다드,Standard,普,普
54,ミュージモン,뮤지몬,並,스탠다드,Standard,普,普
55,ペロリモン,덥석몬,並,스탠다드,Standard,普,普
56,ドーガモン,비디몬,並,스탠다드,Standard,普,普
57,ドレスモン,드레스몬,並,스탠다드,Standard,普,普
58,ブックモン,북몬,並,스탠다드,Standard,普,普
59,ガシャモン,뽑몬,並,스탠다드,Standard,普,普
60,ラックモン,럭몬,並,스탠다드,Standard,普,普
61,トリックモン,트릭몬,並,스탠다드,Standard,普,普
62,ダイスモン,다이스몬,並,스탠다드,Standard,普,普
63,クックモン,쿡몬,並,스탠다드,Standard,普,普
64,バイラモン,바이러몬,並,스탠다드,Standard,普,普
65,スリープモン,슬립몬,並,스탠다드,Standard,普,普
66,マッスルモン,머슬몬,並,스탠다드,Standard,普,普
67,エイドモン,에이드몬,並,스탠다드,Standard,普,普
68,マネーモン,머니몬,並,스탠다드,Standard,普,普
69,スパモン,스파몬,並,스탠다드,Standard,普,普
70,サプリモン,서플리몬,並,스탠다드,Standard,普,普
71,ドープモン,도프몬,並,스탠다드,Standard,普,普
72,オクショモン,옥셔몬,並,스탠다드,Standard,普,普
73,カケイモン,가계몬,並,스탠다드,Standard,普,普
74,カイモン,쇼핑몬,並,스탠다드,Standard,普,普
75,ジショモン,딕셔몬,並,스탠다드,Standard,普,普
76,ロギモン,로긴몬,超,슈퍼,Super,超,超
77,ロガモン,로간몬,超,슈퍼,Super,超,超
78,ドガッチモン,슈퍼 서치몬,超,슈퍼,Super,超,超
79,ソーシャモン,소셔몬,超,슈퍼,Super,超,超
80,ゴシップモン,가십몬,超,슈퍼,Super,超,超
81,スカシモン,스카시몬,超,슈퍼,Super,超,超
82,トリップモン,트립몬,超,슈퍼,Super,超,超
83,ウェザドラモン,웨더드라몬,超,슈퍼,Super,超,超
84,タイムモン,타임몬,超,슈퍼,Super,超,超
85,ロアモン,로어몬,超,슈퍼,Super,超,超
86,スコープモン,스코프몬,超,슈퍼,Super,超,超
87,クラフトモン,크래프트몬,超,슈퍼,Super,超,超
88,レイドラモン,레이드라몬,超,슈퍼,Super,超,超
89,デジップモン,데집몬,超,슈퍼,Super,超,超
90,ミエーヌモン,미에누몬,超,슈퍼,Super,超,超
91,ワープモン,워프몬,超,슈퍼,Super,超,超
92,サクシモン,책사몬,超,슈퍼,Super,超,超
93,ドスコモン,도스코몬,超,슈퍼,Super,超,超
94,ブレモン,브레몬,超,슈퍼,Super,超,超
95,コーチモン,코치몬,超,슈퍼,Super,超,超
96,ウラテクモン,테크마스몬,超,슈퍼,Super,超,超
97,エフェクモン,이펙몬,超,슈퍼,Super,超,超
98,タロットモン,타로몬,超,슈퍼,Super,超,超
99,コーデモン,코디몬,超,슈퍼,Super,超,超
100,メディアモン,미디어몬,超,슈퍼,Super,超,超
101,ベガスモン,베이거스몬,超,슈퍼,Super,超,超
102,ドリーモン,드리몬,超,슈퍼,Super,超,超
103,メディックモン,메딕몬,超,슈퍼,Super,超,超
104,ドクモン,닥몬,超,슈퍼,Super,超,超
105,コンサルモン,컨설몬,超,슈퍼,Super,超,超
106,ライブラモン,라이브러몬,超,슈퍼,Super,超,超
107,グローブモン,글로브몬,極,얼티미트,Ultimate,极,極
108,カリスモン,카리스몬,極,얼티미트,Ultimate,极,極
109,ダメダモン,안댐몬,極,얼티미트,Ultimate,极,極
110,サテラモン,새틀라몬,極,얼티미트,Ultimate,极,極
111,コメットモン,코멧몬,極,얼티미트,Ultimate,极,極
112,ブートモン,부팅몬,極,얼티미트,Ultimate,极,極
113,シャットモン,셧몬,極,얼티미트,Ultimate,极,極
114,フェイクモン,페이크몬,極,얼티미트,Ultimate,极,極
115,リバイブモン,리바이브몬,極,얼티미트,Ultimate,极,極
116,ワルダモン,와루다몬,極,얼티미트,Ultimate,极,極
117,オウジャモン,오우자몬,極,얼티미트,Ultimate,极,極
118,エンタモン,엔터몬,極,얼티미트,Ultimate,极,極
119,バイオモン,바이오몬,極,얼티미트,Ultimate,极,極
120,ビューティモン,뷰티몬,極,얼티미트,Ultimate,极,極
121,リブートモン,리부트몬,神,신,God,神,神
122,ガイアモン,가이아몬,神,신,God,神,神
123,ハデスモン,하데스몬,神,신,God,神,神
124,ポセイドモン,포세이도몬,神,신,God,神,神
125,ウラノスモン,우라노스몬,神,신,God,神,神
126,デウスモン,데우스몬,神,신,God,神,神
127,タップモン(ソーシャル),탭몬(소셜),－,－,－,－,－
128,タップモン(ナビ),탭몬(내비),－,－,－,－,－
129,タップモン(ツール),탭몬(툴),－,－,－,－,－
130,タップモン(システム),탭몬(시스템),－,－,－,－,－
131,タップモン(ゲーム),탭몬(게임),－,－,－,－,－
132,タップモン(エンタメ),탭몬(엔터테인먼트),－,－,－,－,－
133,タップモン(ライフ),탭몬(라이프),－,－,－,－,－
134,フリックモン(ソーシャル),플릭몬(소셜),－,－,－,－,－
135,フリックモン(ナビ),플릭몬(내비),－,－,－,－,－
136,フリックモン(ツール),플릭몬(툴),－,－,－,－,－
137,フリックモン(システム),플릭몬(시스템),－,－,－,－,－
138,フリックモン(ゲーム),플릭몬(게임),－,－,－,－,－
139,フリックモン(エンタメ),플릭몬(엔터테인먼트),－,－,－,－,－
140,フリックモン(ライフ),플릭몬(라이프),－,－,－,－,－
141,スワイプモン(ソーシャル),스와이프몬(소셜),－,－,－,－,－
142,スワイプモン(ナビ),스와이프몬(내비),－,－,－,－,－
143,スワイプモン(ツール),스와이프몬(툴),－,－,－,－,－
144,スワイプモン(システム),스와이프몬(시스템),－,－,－,－,－
145,スワイプモン(ゲーム),스와이프몬(게임),－,－,－,－,－
146,スワイプモン(エンタメ),스와이프몬(엔터테인먼트),－,－,－,－,－
147,スワイプモン(ライフ),스와이프몬(라이프),－,－,－,－,－
148,ダンテモン,단테몬,不明,불명,Unknown,不明,不明
