id,name_ja,name_ko,name_en,name_zh_hans,name_zh_hant,url_ja,url_ko,url_en
1,ガッチモン,서치몬,Gatchmon,盖奇兽,蓋奇獸,https://digimon.net/appmon/detail.php?id=1,https://digimon.net/appmon_ko/detail.php?id=1,https://digimon.net/appmon_en/detail.php?id=1
2,コールモン,콜몬,Callmon,电话兽,電話獸,https://digimon.net/appmon/detail.php?id=2,https://digimon.net/appmon_ko/detail.php?id=2,https://digimon.net/appmon_en/detail.php?id=2
3,メールモン,메일몬,Mailmon,邮件兽,郵件獸,https://digimon.net/appmon/detail.php?id=3,https://digimon.net/appmon_ko/detail.php?id=3,https://digimon.net/appmon_en/detail.php?id=3
4,ツブモン,츠부몬,Tweetmon,发文兽,發文獸,https://digimon.net/appmon/detail.php?id=4,https://digimon.net/appmon_ko/detail.php?id=4,https://digimon.net/appmon_en/detail.php?id=4
5,ゲンゴーモン,언어몬,Gengomon,语言兽,語言獸,https://digimon.net/appmon/detail.php?id=5,https://digimon.net/appmon_ko/detail.php?id=5,https://digimon.net/appmon_en/detail.php?id=5
6,アドモン,어드몬,Addmon,通讯录兽,通訊錄獸,https://digimon.net/appmon/detail.php?id=6,https://digimon.net/appmon_ko/detail.php?id=6,https://digimon.net/appmon_en/detail.php?id=6
7,レビューモン,리뷰몬,Reviewmon,评论兽,評論獸,https://digimon.net/appmon/detail.php?id=7,https://digimon.net/appmon_ko/detail.php?id=7,https://digimon.net/appmon_en/detail.php?id=7
8,セットモン,세팅몬,Setmon,设置兽,設定獸,https://digimon.net/appmon/detail.php?id=8,https://digimon.net/appmon_ko/detail.php?id=8,https://digimon.net/appmon_en/detail.php?id=8
9,メッセモン,메시몬,Messemon,信息兽,訊息獸,https://digimon.net/appmon/detail.php?id=9,https://digimon.net/appmon_ko/detail.php?id=9,https://digimon.net/appmon_en/detail.php?id=9
10,コソモン,속닥몬,Kosomon,嘀咕兽,傳聞獸,https://digimon.net/appmon/detail.php?id=10,https://digimon.net/appmon_ko/detail.php?id=10,https://digimon.net/appmon_en/detail.php?id=10
11,ロケットモン,로켓몬,Rocketmon,火箭兽,火箭獸,https://digimon.net/appmon/detail.php?id=11,https://digimon.net/appmon_ko/detail.php?id=11,https://digimon.net/appmon_en/detail.php?id=11
12,ナビモン,내비몬,Navimon,导航兽,導航獸,https://digimon.net/appmon/detail.php?id=12,https://digimon.net/appmon_ko/detail.php?id=12,https://digimon.net/appmon_en/detail.php?id=12
13,ジェットモン,제트몬,Jetmon,喷气兽,噴射機獸,https://digimon.net/appmon/detail.php?id=13,https://digimon.net/appmon_ko/detail.php?id=13,https://digimon.net/appmon_en/detail.php?id=13
14,レッシャモン,열차몬,Resshamon,列车兽,列車獸,https://digimon.net/appmon/detail.php?id=14,https://digimon.net/appmon_ko/detail.php?id=14,https://digimon.net/appmon_en/detail.php?id=14
15,ウェザーモン,웨더몬,Weathermon,天气兽,天氣獸,https://digimon.net/appmon/detail.php?id=15,https://digimon.net/appmon_ko/detail.php?id=15,https://digimon.net/appmon_en/detail.php?id=15
16,コンパスモン,컴퍼스몬,Compassmon,指南针兽,指南針獸,https://digimon.net/appmon/detail.php?id=16,https://digimon.net/appmon_ko/detail.php?id=16,https://digimon.net/appmon_en/detail.php?id=16
17,ヤドモン,호텔몬,Yadomon,旅店兽,旅館獸,https://digimon.net/appmon/detail.php?id=17,https://digimon.net/appmon_ko/detail.php?id=17,https://digimon.net/appmon_en/detail.php?id=17
18,ニュースモン,뉴스몬,Newsmon,新闻兽,新聞獸,https://digimon.net/appmon/detail.php?id=18,https://digimon.net/appmon_ko/detail.php?id=18,https://digimon.net/appmon_en/detail.php?id=18
19,チュートモン,튜토몬,Tutomon,解说兽,解說獸,https://digimon.net/appmon/detail.php?id=19,https://digimon.net/appmon_ko/detail.php?id=19,https://digimon.net/appmon_en/detail.php?id=19
20,エムシーモン,엠시몬,Mcmon,主持兽,主持獸,https://digimon.net/appmon/detail.php?id=20,https://digimon.net/appmon_ko/detail.php?id=20,https://digimon.net/appmon_en/detail.php?id=20
21,キャメラモン,카메라몬,Cameramon,摄影兽,攝影獸,https://digimon.net/appmon/detail.php?id=21,https://digimon.net/appmon_ko/detail.php?id=21,https://digimon.net/appmon_en/detail.php?id=21
22,レコモン,레코몬,Recomon,录音兽,錄音獸,https://digimon.net/appmon/detail.php?id=22,https://digimon.net/appmon_ko/detail.php?id=22,https://digimon.net/appmon_en/detail.php?id=22
23,カリキュモン,칼큐몬,Calcumon,计算兽,計算獸,https://digimon.net/appmon/detail.php?id=23,https://digimon.net/appmon_ko/detail.php?id=23,https://digimon.net/appmon_en/detail.php?id=23
24,ゴミモン,트래쉬몬,Gomimon,垃圾兽,垃圾獸,https://digimon.net/appmon/detail.php?id=24,https://digimon.net/appmon_ko/detail.php?id=24,https://digimon.net/appmon_en/detail.php?id=24
25,ミラーモン,미러몬,Mirrormon,镜面兽,鏡子獸,https://digimon.net/appmon/detail.php?id=25,https://digimon.net/appmon_ko/detail.php?id=25,https://digimon.net/appmon_en/detail.php?id=25
26,ライトモン,라이트몬,Lightmon,灯光兽,照明獸,https://digimon.net/appmon/detail.php?id=26,https://digimon.net/appmon_ko/detail.php?id=26,https://digimon.net/appmon_en/detail.php?id=26
27,ウォッチモン,워치몬,Watchmon,手表兽,手錶獸,https://digimon.net/appmon/detail.php?id=27,https://digimon.net/appmon_ko/detail.php?id=27,https://digimon.net/appmon_en/detail.php?id=27
28,ダイアリモン,다이어리몬,Diarimon,日记兽,日記獸,https://digimon.net/appmon/detail.php?id=28,https://digimon.net/appmon_ko/detail.php?id=28,https://digimon.net/appmon_en/detail.php?id=28
29,カレンダモン,캘린더몬,Calendamon,日历兽,日曆獸,https://digimon.net/appmon/detail.php?id=29,https://digimon.net/appmon_ko/detail.php?id=29,https://digimon.net/appmon_en/detail.php?id=29
30,オンパモン,음파몬,Onpamon,声波兽,音波獸,https://digimon.net/appmon/detail.php?id=30,https://digimon.net/appmon_ko/detail.php?id=30,https://digimon.net/appmon_en/detail.php?id=30
31,ジャミングモン,재밍몬,Jammingmon,干扰兽,干擾獸,https://digimon.net/appmon/detail.php?id=31,https://digimon.net/appmon_ko/detail.php?id=31,https://digimon.net/appmon_en/detail.php?id=31
32,プロテクモン,프로텍몬,Protecmon,防护兽,防護獸,https://digimon.net/appmon/detail.php?id=32,https://digimon.net/appmon_ko/detail.php?id=32,https://digimon.net/appmon_en/detail.php?id=32
33,ハックモン,핵몬,Hackmon,黑客兽,駭客獸,https://digimon.net/appmon/detail.php?id=33,https://digimon.net/appmon_ko/detail.php?id=33,https://digimon.net/appmon_en/detail.php?id=33
34,バッテリモン,배터리몬,Batterimon,电池兽,電池獸,https://digimon.net/appmon/detail.php?id=34,https://digimon.net/appmon_ko/detail.php?id=34,https://digimon.net/appmon_en/detail.php?id=34
35,ペコモン,페코몬,Pekomon,扁扁兽,壓縮獸,https://digimon.net/appmon/detail.php?id=35,https://digimon.net/appmon_ko/detail.php?id=35,https://digimon.net/appmon_en/detail.php?id=35
36,ポコモン,포코몬,Pokomon,鼓鼓兽,解壓獸,https://digimon.net/appmon/detail.php?id=36,https://digimon.net/appmon_ko/detail.php?id=36,https://digimon.net/appmon_en/detail.php?id=36
37,コピペモン,카피페몬,Copipemon,复制粘贴兽,複製貼上獸,https://digimon.net/appmon/detail.php?id=37,https://digimon.net/appmon_ko/detail.php?id=37,https://digimon.net/appmon_en/detail.php?id=37
38,セーブモン,세이브몬,Savemon,储存兽,存檔獸,https://digimon.net/appmon/detail.php?id=38,https://digimon.net/appmon_ko/detail.php?id=38,https://digimon.net/appmon_en/detail.php?id=38
39,カベモン,월몬,Kabemon,壁纸兽,桌布獸,https://digimon.net/appmon/detail.php?id=39,https://digimon.net/appmon_ko/detail.php?id=39,https://digimon.net/appmon_en/detail.php?id=39
40,エコモン,에코몬,Ecomon,节能兽,節能獸,https://digimon.net/appmon/detail.php?id=40,https://digimon.net/appmon_ko/detail.php?id=40,https://digimon.net/appmon_en/detail.php?id=40
41,ピーポモン,삐뽀몬,Pipomon,警笛兽,警報獸,https://digimon.net/appmon/detail.php?id=41,https://digimon.net/appmon_ko/detail.php?id=41,https://digimon.net/appmon_en/detail.php?id=41
42,デンパモン,시그널몬,Denpamon,电波兽,電波獸,https://digimon.net/appmon/detail.php?id=42,https://digimon.net/appmon_ko/detail.php?id=42,https://digimon.net/appmon_en/detail.php?id=42
43,オンモン,온몬,Onmon,上线兽,連線獸,https://digimon.net/appmon/detail.php?id=43,https://digimon.net/appmon_ko/detail.php?id=43,https://digimon.net/appmon_en/detail.php?id=43
44,オフモン,오프몬,Offmon,离线兽,離線獸,https://digimon.net/appmon/detail.php?id=44,https://digimon.net/appmon_ko/detail.php?id=44,https://digimon.net/appmon_en/detail.php?id=44
45,ドカモン,콰광몬,Dokamon,多卡兽,多卡獸,https://digimon.net/appmon/detail.php?id=45,https://digimon.net/appmon_ko/detail.php?id=45,https://digimon.net/appmon_en/detail.php?id=45
46,ショットモン,샷몬,Shotmon,射击兽,射擊獸,https://digimon.net/appmon/detail.php?id=46,https://digimon.net/appmon_ko/detail.php?id=46,https://digimon.net/appmon_en/detail.php?id=46
47,カードモン,카드몬,Cardmon,卡片兽,卡牌獸,https://digimon.net/appmon/detail.php?id=47,https://digimon.net/appmon_ko/detail.php?id=47,https://digimon.net/appmon_en/detail.php?id=47
48,ロープレモン,롤플레잉몬,Roleplaymon,角色扮演兽,角色扮演獸,https://digimon.net/appmon/detail.php?id=48,https://digimon.net/appmon_ko/detail.php?id=48,https://digimon.net/appmon_en/detail.php?id=48
