id,name_ja,name_ko,app_name_ja,app_name_ko,app_name_en,app_name_zh_hans,app_name_zh_hant
1,ガッチモン,서치몬,検索,검색,Search,搜索,搜索
2,コールモン,콜몬,電話,전화,Phone,电话,電話
3,メールモン,메일몬,メール,메일,Mail,电子邮件,郵件
4,ツブモン,츠부몬,つぶやき,트윗,Tweet,微博客,發文
5,ゲンゴーモン,언어몬,翻訳,번역,Translation,翻译,翻譯
6,アドモン,어드몬,アドレス帳,주소록,Address Book,通讯录,通訊錄
7,レビューモン,리뷰몬,口コミ,리뷰,Review,点评,評論
8,セットモン,세팅몬,設定,설정,Setup,设置设定,設定
9,メッセモン,메시몬,メッセージ,메시지,Message,短信息,訊息
10,コソモン,속닥몬,裏口コミ,비밀 후기,Gossip Review,匿名点评,小道消息
11,ロケットモン,로켓몬,ロケット,로켓,Rocket,火箭,火箭
12,ナビモン,내비몬,ナビ,내비,Navi,导航,導航
13,ジェットモン,제트몬,フライト,비행,Flight,航空,航班
14,レッシャモン,열차몬,乗換,환승,Transfer,乘车查询,轉乘
15,ウェザーモン,웨더몬,天気,날씨,Weather,天气,天氣
16,コンパスモン,컴퍼스몬,コンパス,나침반,Compass,指南针,指南針
17,ヤドモン,호텔몬,ホテル,호텔,Hotel,订房,飯店
18,ニュースモン,뉴스몬,ニュース,뉴스,News,新闻,新聞
19,チュートモン,튜토몬,解説,해설,Commentary,解说,解說
20,エムシーモン,엠시몬,実況,실황,Broadcasting,直播,實況
21,キャメラモン,카메라몬,カメラ,카메라,Camera,照相,相機
22,レコモン,레코몬,録音,녹음,Recording,录音,錄音
23,カリキュモン,칼큐몬,電卓,전자계산기,Calculator,计算器,計算機
24,ゴミモン,트래쉬몬,ごみ箱,쓰레기통,Trashbin,回收站,垃圾桶
25,ミラーモン,미러몬,ミラー,거울,Mirror,镜子,鏡子
26,ライトモン,라이트몬,ライト,조명,Light,手电筒,照明
27,ウォッチモン,워치몬,時計,시계,Watch,时钟,時鐘
28,ダイアリモン,다이어리몬,日記帳,일기장,Diary,日记本,日記本
29,カレンダモン,캘린더몬,カレンダー,캘린더,Calendar,日历,日曆
30,オンパモン,음파몬,超音波,초음파,Ultrasound,超声波,超音波
31,ジャミングモン,재밍몬,ジャミング,재밍,Jamming,干扰,干擾
32,プロテクモン,프로텍몬,セキュリティ,보안,Security,安全防护,安全
33,ハックモン,핵몬,ハッキング,해킹,Hacking,破解入侵,入侵
34,バッテリモン,배터리몬,バッテリー,배터리,Battery,电池,電池
35,ペコモン,페코몬,圧縮,압축,Compression,压缩,壓縮
36,ポコモン,포코몬,解凍,해동,Decompression,解压缩,解壓
37,コピペモン,카피페몬,コピペ,복사&붙여넣기,Copy & Paste,复制粘贴,複製貼上
38,セーブモン,세이브몬,バックアップ,백업,Backup,数据备份,備份
39,カベモン,월몬,壁紙,배경 화면,Wallpaper,壁纸,桌布
40,エコモン,에코몬,省エネ,에너지 절약,Energy Saving,节能环保,節能
41,ピーポモン,삐뽀몬,注意報,경보,Warning,警报,警報
42,デンパモン,시그널몬,通信,통신,Communication,通信,通訊
43,オンモン,온몬,オンライン,온라인,Online,上线,連線
44,オフモン,오프몬,オフライン,오프라인,Offline,离线,離線
45,ドカモン,콰광몬,アクション,액션,Action,全真投射,動作
46,ショットモン,샷몬,シューティング,슈팅,Shooting,射击游戏,射擊
47,カードモン,카드몬,カード,카드,Card,卡牌游戏,卡牌
48,ロープレモン,롤플레잉몬,ロープレ,롤플레잉,Role-playing,角色扮演游戏,角色扮演
49,パズルモン,퍼즐몬,パズル,퍼즐,Puzzle,益智类游戏,益智遊戲
50,ダンスモン,댄스몬,リズム,리듬,Rhythm,音乐游戏,節奏
51,レースモン,레이스몬,レース,레이스,Race,竞速游戏,競賽
52,ドローモン,드로몬,ペイント,페인트,Paint,绘画,繪圖
53,テラーモン,텔러몬,占い,점술,Fortune Telling,占卜,占卜
54,ミュージモン,뮤지몬,音楽,음악,Music,音乐,音樂
55,ペロリモン,덥석몬,グルメ,맛집,Gourmet,美食,美食
56,ドーガモン,비디몬,動画,영상,Video,视频,影片
57,ドレスモン,드레스몬,ファッション,패션,Fashion,时尚,時尚
58,ブックモン,북몬,電子書籍,e북,eBook,电子书,電子書籍
59,ガシャモン,뽑몬,ガシャ,캡슐 뽑기,Gashapon,扭蛋,扭蛋
60,ラックモン,럭몬,スロット,슬롯,Slot,老虎机,老虎機
61,トリックモン,트릭몬,手品,마술,Trick,魔术戏法,魔術
62,ダイスモン,다이스몬,サイコロ,주사위,Dice,模拟骰子,骰子
63,クックモン,쿡몬,お料理,요리,Cook,食谱,烹飪
64,バイラモン,바이러몬,ウィルス,바이러스,Virus,病毒,病毒
65,スリープモン,슬립몬,睡眠,수면,Sleep,睡眠,睡眠
66,マッスルモン,머슬몬,筋トレ,근육 트레이닝,Muscle Training,健身增肌,鍛鍊肌肉
67,エイドモン,에이드몬,救命,구조,Rescue,急救,救命
68,マネーモン,머니몬,電子マネー,전자화폐,eMoney,电子支付,電子貨幣
69,スパモン,스파몬,温泉,온천,Spa,温泉,溫泉
70,サプリモン,서플리몬,サプリ,보충제,Supplement,调养保健,保健食品
71,ドープモン,도프몬,増強,증강,Enhancement,刺激强化,增強
72,オクショモン,옥셔몬,オークション,경매,Auction,拍卖,拍賣
73,カケイモン,가계몬,家計簿,가계부,Account Book,家庭账簿,家計簿
74,カイモン,쇼핑몬,ショッピング,쇼핑,Shopping,购物,購物
75,ジショモン,딕셔몬,辞書,사전,Dictionary,词典,辭典
76,ロギモン,로긴몬,ログイン,로그인,Login,登录,登入
77,ロガモン,로간몬,ログオフ,로그아웃,Logoff,注销,登出
78,ドガッチモン,슈퍼 서치몬,超検索,슈퍼 검색,Super Search,超级搜索,超級搜索
79,ソーシャモン,소셔몬,ＳＮＳ,SNS,SNS,社交网络,SNS
80,ゴシップモン,가십몬,ゴシップ,가십,Gossip,闲话八卦,傳聞
81,スカシモン,스카시몬,スカ,실패,Failed,失败,失敗
82,トリップモン,트립몬,旅行,여행,Trip,旅行,旅行
83,ウェザドラモン,웨더드라몬,天候,기후,Weather,天候,天候
84,タイムモン,타임몬,タイムスリップ,타임 슬립,Time Slip,时间跳跃,時光機
85,ロアモン,로어몬,ボイスチェンジ,음성 변조,Voice Change,变声,變聲
86,スコープモン,스코프몬,監視,감시,Monitoring,监视,監視
87,クラフトモン,크래프트몬,設計,설계,Design,设计,設計
88,レイドラモン,레이드라몬,超ハッキング,슈퍼 해킹,Super Hacking,超级入侵,超級入侵
89,デジップモン,데집몬,圧縮解凍,압축 해동,Zip/Unzip,压缩与解压缩,壓縮和解壓縮
90,ミエーヌモン,미에누몬,ステルス,스텔스,Stealth,隐形,隱身
91,ワープモン,워프몬,転送,전송,Transmission,瞬间传送,傳送
92,サクシモン,책사몬,シミュレーション,시뮬레이션,Simulation,策略类游戏,模擬
93,ドスコモン,도스코몬,格闘,격투,Fighting,格斗游戏,格鬥
94,ブレモン,브레몬,脳トレ,두뇌 트레이닝,Brain Training,脑锻炼游戏,腦力激盪
95,コーチモン,코치몬,育成,육성,Training,养成类游戏,訓練
96,ウラテクモン,테크마스몬,攻略,공략,Hints and Tips,攻略秘籍,攻略
97,エフェクモン,이펙몬,エフェクト,이펙트,Effect,特效,效果
98,タロットモン,타로몬,超占い,슈퍼 점술,Super Fortune Telling,超级占卜,超級占卜
99,コーデモン,코디몬,コーディネート,코디네이트,Coordinate,时尚穿搭,服裝搭配
100,メディアモン,미디어몬,メディアプレーヤー,미디어 플레이어,Media Player,影音播放器,播放媒體
101,ベガスモン,베이거스몬,ルーレット,룰렛,Roulette,轮盘游戏,輪盤
102,ドリーモン,드리몬,夢,꿈,Dream,梦境,夢
103,メディックモン,메딕몬,メディカル,메디컬,Medical,医疗,醫療
104,ドクモン,닥몬,ドクター,닥터,Doctor,电子医生,醫生
105,コンサルモン,컨설몬,節約,절약,Saving,节约,節約
106,ライブラモン,라이브러몬,図書館,도서관,Library,图书馆,圖書館
107,グローブモン,글로브몬,グローバル,글로벌,Global,全球信息,全球
108,カリスモン,카리스몬,マインドコントロール,마인드 컨트롤,Mind Control,精神控制,精神控制
109,ダメダモン,안댐몬,ダメダメ,안 돼 안 돼,Hopeless,不行不行,不中用
110,サテラモン,새틀라몬,GPS,GPS,GPS,GPS,GPS
111,コメットモン,코멧몬,天体,천체,Astronomy,天体,天體
112,ブートモン,부팅몬,超起動,슈퍼 부팅,Super Boot,超级启动,超級啟動
113,シャットモン,셧몬,強制終了,강제 종료,Forced Termination,强制结束,強制結束
114,フェイクモン,페이크몬,偽装,위장,Camouflage,伪装,偽裝
115,リバイブモン,리바이브몬,復元,복원,Restoration,系统恢复,復原
116,ワルダモン,와루다몬,策略,책략,Strategy,策略,策略
117,オウジャモン,오우자몬,戦闘,전투,Battle,战斗,戰鬥
118,エンタモン,엔터몬,エンターテイメント,오락,Entertainment,文艺娱乐,娛樂
119,バイオモン,바이오몬,ライフ,라이프,Life,生活,生活
120,ビューティモン,뷰티몬,美容,미용,Beauty,美容,美容
121,リブートモン,리부트몬,再起動,재부팅,Reboot,重启,重新啟動
122,ガイアモン,가이아몬,創造,창조,Creation,创造,創造
123,ハデスモン,하데스몬,変化,변화,Transmutation,变化,變化
124,ポセイドモン,포세이도몬,無敵,무적,Invincible,无敌,無敵
125,ウラノスモン,우라노스몬,覚醒,각성,Awakening,觉醒,覺醒
126,デウスモン,데우스몬,全能,전능,Omnipotence,全能,全能
127,タップモン(ソーシャル),탭몬(소셜),タップ,탭,Tap,轻敲,點擊
128,タップモン(ナビ),탭몬(내비),タップ,탭,Tap,轻敲,點擊
129,タップモン(ツール),탭몬(툴),タップ,탭,Tap,轻敲,點擊
