id,name_ja,name_ko,attribute_ja,attribute_ko,attribute_en,attribute_zh_hans,attribute_zh_hant
1,ガッチモン,서치몬,ソーシャル,소셜,Social,社交,社交
2,コールモン,콜몬,ソーシャル,소셜,Social,社交,社交
3,メールモン,메일몬,ソーシャル,소셜,Social,社交,社交
4,ツブモン,츠부몬,ソーシャル,소셜,Social,社交,社交
5,ゲンゴーモン,언어몬,ソーシャル,소셜,Social,社交,社交
6,アドモン,어드몬,ソーシャル,소셜,Social,社交,社交
7,レビューモン,리뷰몬,ソーシャル,소셜,Social,社交,社交
8,セットモン,세팅몬,ソーシャル,소셜,Social,社交,社交
9,メッセモン,메시몬,ソーシャル,소셜,Social,社交,社交
10,コソモン,속닥몬,ソーシャル,소셜,Social,社交,社交
11,ロケットモン,로켓몬,ナビ,내비,Navi,导航,導航
12,ナビモン,내비몬,ナビ,내비,Navi,导航,導航
13,ジェットモン,제트몬,ナビ,내비,Navi,导航,導航
14,レッシャモン,열차몬,ナビ,내비,Navi,导航,導航
15,ウェザーモン,웨더몬,ナビ,내비,Navi,导航,導航
16,コンパスモン,컴퍼스몬,ナビ,내비,Navi,导航,導航
17,ヤドモン,호텔몬,ナビ,내비,Navi,导航,導航
18,ニュースモン,뉴스몬,ナビ,내비,Navi,导航,導航
19,チュートモン,튜토몬,ナビ,내비,Navi,导航,導航
20,エムシーモン,엠시몬,ナビ,내비,Navi,导航,導航
21,キャメラモン,카메라몬,ツール,툴,Tool,工具,工具
22,レコモン,레코몬,ツール,툴,Tool,工具,工具
23,カリキュモン,칼큐몬,ツール,툴,Tool,工具,工具
24,ゴミモン,트래쉬몬,ツール,툴,Tool,工具,工具
25,ミラーモン,미러몬,ツール,툴,Tool,工具,工具
26,ライトモン,라이트몬,ツール,툴,Tool,工具,工具
27,ウォッチモン,워치몬,ツール,툴,Tool,工具,工具
28,ダイアリモン,다이어리몬,ツール,툴,Tool,工具,工具
29,カレンダモン,캘린더몬,ツール,툴,Tool,工具,工具
30,オンパモン,음파몬,ツール,툴,Tool,工具,工具
31,ジャミングモン,재밍몬,ツール,툴,Tool,工具,工具
32,プロテクモン,프로텍몬,システム,시스템,System,系统,系統
33,ハックモン,핵몬,システム,시스템,System,系统,系統
34,バッテリモン,배터리몬,システム,시스템,System,系统,系統
35,ペコモン,페코몬,システム,시스템,System,系统,系統
36,ポコモン,포코몬,システム,시스템,System,系统,系統
37,コピペモン,카피페몬,システム,시스템,System,系统,系統
38,セーブモン,세이브몬,システム,시스템,System,系统,系統
39,カベモン,월몬,システム,시스템,System,系统,系統
40,エコモン,에코몬,システム,시스템,System,系统,系統
41,ピーポモン,삐뽀몬,システム,시스템,System,系统,系統
42,デンパモン,시그널몬,システム,시스템,System,系统,系統
43,オンモン,온몬,ゲーム,게임,Game,游戏,遊戲
44,オフモン,오프몬,ゲーム,게임,Game,游戏,遊戲
45,ドカモン,콰광몬,ゲーム,게임,Game,游戏,遊戲
46,ショットモン,샷몬,ゲーム,게임,Game,游戏,遊戲
47,カードモン,카드몬,ゲーム,게임,Game,游戏,遊戲
48,ロープレモン,롤플레잉몬,ゲーム,게임,Game,游戏,遊戲
49,パズルモン,퍼즐몬,ゲーム,게임,Game,游戏,遊戲
50,ダンスモン,댄스몬,ゲーム,게임,Game,游戏,遊戲
51,レースモン,레이스몬,ゲーム,게임,Game,游戏,遊戲
52,ドローモン,드로몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
53,テラーモン,텔러몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
54,ミュージモン,뮤지몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
55,ペロリモン,덥석몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
56,ドーガモン,비디몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
