source_id,source_name_ja,locale,position,related_id,related_name_displayed,related_type_displayed,snapshot_only,source_url
1,ガッチモン,ja,1,76,ロギモン,ログイン / ソーシャル,True,https://digimon.net/appmon/detail.php?id=1
1,ガッチモン,ja,2,4,ツブモン,つぶやき / ソーシャル,True,https://digimon.net/appmon/detail.php?id=1
1,ガッチモン,ja,3,12,ナビモン,ナビ / ナビ,True,https://digimon.net/appmon/detail.php?id=1
1,ガッチモン,ko,1,76,로긴몬,로그인 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=1
1,ガッチモン,ko,2,12,내비몬,내비 / 내비,True,https://digimon.net/appmon_ko/detail.php?id=1
1,ガッチモン,ko,3,122,가이아몬,창조 / 하나님,True,https://digimon.net/appmon_ko/detail.php?id=1
1,ガッチモン,en,1,43,Onmon,Online  / Game,True,https://digimon.net/appmon_en/detail.php?id=1
1,ガッチモン,en,2,76,Logimon,Login / Social,True,https://digimon.net/appmon_en/detail.php?id=1
1,ガッチモン,en,3,12,Navimon,Navi  / Navi,True,https://digimon.net/appmon_en/detail.php?id=1
1,ガッチモン,zh_hans,1,78,大盖奇兽,超级搜索 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=1
1,ガッチモン,zh_hans,2,122,盖亚兽,创造 / 神,True,https://digimon.net/appmon_zh-CHS/detail.php?id=1
1,ガッチモン,zh_hans,3,4,发文兽,微博客 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=1
1,ガッチモン,zh_hant,1,43,連線獸,連線 / 遊戲,True,https://digimon.net/appmon_zh-CHT/detail.php?id=1
1,ガッチモン,zh_hant,2,12,導航獸,導航 / 導航,True,https://digimon.net/appmon_zh-CHT/detail.php?id=1
1,ガッチモン,zh_hant,3,122,蓋亞獸,創造 / 神,True,https://digimon.net/appmon_zh-CHT/detail.php?id=1
2,コールモン,ja,1,79,ソーシャモン,ＳＮＳ / ソーシャル,True,https://digimon.net/appmon/detail.php?id=2
2,コールモン,ja,2,3,メールモン,メール / ソーシャル,True,https://digimon.net/appmon/detail.php?id=2
2,コールモン,ja,3,6,アドモン,アドレス帳 / ソーシャル,True,https://digimon.net/appmon/detail.php?id=2
2,コールモン,ko,1,6,어드몬,주소록 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=2
2,コールモン,ko,2,79,소셔몬,SNS / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=2
2,コールモン,ko,3,3,메일몬,메일 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=2
2,コールモン,en,1,9,Messemon,Message / Social,True,https://digimon.net/appmon_en/detail.php?id=2
2,コールモン,en,2,3,Mailmon,Mail / Social,True,https://digimon.net/appmon_en/detail.php?id=2
2,コールモン,en,3,79,Sociamon,SNS / Social,True,https://digimon.net/appmon_en/detail.php?id=2
2,コールモン,zh_hans,1,9,信息兽,短信息 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=2
2,コールモン,zh_hans,2,3,邮件兽,电子邮件 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=2
2,コールモン,zh_hans,3,79,社交兽,社交网络 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=2
2,コールモン,zh_hant,1,9,訊息獸,訊息 / 社交,True,https://digimon.net/appmon_zh-CHT/detail.php?id=2
2,コールモン,zh_hant,2,6,通訊錄獸,通訊錄 / 社交,True,https://digimon.net/appmon_zh-CHT/detail.php?id=2
2,コールモン,zh_hant,3,79,社交獸,SNS / 社交,True,https://digimon.net/appmon_zh-CHT/detail.php?id=2
3,メールモン,ja,1,79,ソーシャモン,ＳＮＳ / ソーシャル,True,https://digimon.net/appmon/detail.php?id=3
3,メールモン,ja,2,6,アドモン,アドレス帳 / ソーシャル,True,https://digimon.net/appmon/detail.php?id=3
3,メールモン,ja,3,2,コールモン,電話 / ソーシャル,True,https://digimon.net/appmon/detail.php?id=3
3,メールモン,ko,1,6,어드몬,주소록 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=3
3,メールモン,ko,2,79,소셔몬,SNS / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=3
3,メールモン,ko,3,9,메시몬,메시지 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=3
3,メールモン,en,1,6,Addmon,Address Book / Social,True,https://digimon.net/appmon_en/detail.php?id=3
3,メールモン,en,2,79,Sociamon,SNS / Social,True,https://digimon.net/appmon_en/detail.php?id=3
3,メールモン,en,3,9,Messemon,Message / Social,True,https://digimon.net/appmon_en/detail.php?id=3
3,メールモン,zh_hans,1,6,通讯录兽,通讯录 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=3
3,メールモン,zh_hans,2,79,社交兽,社交网络 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=3
3,メールモン,zh_hans,3,2,电话兽,电话 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=3
3,メールモン,zh_hant,1,2,電話獸,電話 / 社交,True,https://digimon.net/appmon_zh-CHT/detail.php?id=3
3,メールモン,zh_hant,2,9,訊息獸,訊息 / 社交,True,https://digimon.net/appmon_zh-CHT/detail.php?id=3
3,メールモン,zh_hant,3,6,通訊錄獸,通訊錄 / 社交,True,https://digimon.net/appmon_zh-CHT/detail.php?id=3
4,ツブモン,ja,1,1,ガッチモン,検索 / ソーシャル,True,https://digimon.net/appmon/detail.php?id=4
4,ツブモン,ja,2,12,ナビモン,ナビ / ナビ,True,https://digimon.net/appmon/detail.php?id=4
4,ツブモン,ja,3,45,ドカモン,アクション / ゲーム,True,https://digimon.net/appmon/detail.php?id=4
4,ツブモン,ko,1,1,서치몬,검색 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=4
4,ツブモン,ko,2,48,롤플레잉몬,롤플레잉 / 게임,True,https://digimon.net/appmon_ko/detail.php?id=4
4,ツブモン,ko,3,45,콰광몬,액션 / 게임,True,https://digimon.net/appmon_ko/detail.php?id=4
4,ツブモン,en,1,12,Navimon,Navi  / Navi,True,https://digimon.net/appmon_en/detail.php?id=4
4,ツブモン,en,2,1,Gatchmon,Search  / Social,True,https://digimon.net/appmon_en/detail.php?id=4
4,ツブモン,en,3,78,DoGatchmon,Super Search / Social,True,https://digimon.net/appmon_en/detail.php?id=4
4,ツブモン,zh_hans,1,1,盖奇兽,搜索 / 社交,True,https://digimon.net/appmon_zh-CHS/detail.php?id=4
4,ツブモン,zh_hans,2,96,秘技兽,攻略秘籍 / 游戏,True,https://digimon.net/appmon_zh-CHS/detail.php?id=4
4,ツブモン,zh_hans,3,19,解说兽,解说 / 导航,True,https://digimon.net/appmon_zh-CHS/detail.php?id=4
4,ツブモン,zh_hant,1,96,秘技獸,攻略 / 遊戲,True,https://digimon.net/appmon_zh-CHT/detail.php?id=4
4,ツブモン,zh_hant,2,19,解說獸,解說 / 導航,True,https://digimon.net/appmon_zh-CHT/detail.php?id=4
4,ツブモン,zh_hant,3,1,蓋奇獸,搜索 / 社交,True,https://digimon.net/appmon_zh-CHT/detail.php?id=4
5,ゲンゴーモン,ja,1,30,オンパモン,超音波 / ツール,True,https://digimon.net/appmon/detail.php?id=5
5,ゲンゴーモン,ja,2,31,ジャミングモン,ジャミング / ツール,True,https://digimon.net/appmon/detail.php?id=5
5,ゲンゴーモン,ja,3,85,ロアモン,ボイスチェンジ / ツール,True,https://digimon.net/appmon/detail.php?id=5
5,ゲンゴーモン,ko,1,31,재밍몬,재밍 / 툴,True,https://digimon.net/appmon_ko/detail.php?id=5
5,ゲンゴーモン,ko,2,42,시그널몬,통신 / 시스템,True,https://digimon.net/appmon_ko/detail.php?id=5
5,ゲンゴーモン,ko,3,30,음파몬,초음파 / 툴,True,https://digimon.net/appmon_ko/detail.php?id=5
5,ゲンゴーモン,en,1,31,Jammingmon,Jamming / Tool,True,https://digimon.net/appmon_en/detail.php?id=5
5,ゲンゴーモン,en,2,30,Onpamon,Ultrasound / Tool,True,https://digimon.net/appmon_en/detail.php?id=5
5,ゲンゴーモン,en,3,85,Roamon,Voice Change / Tool,True,https://digimon.net/appmon_en/detail.php?id=5
5,ゲンゴーモン,zh_hans,1,31,干扰兽,干扰 / 工具,True,https://digimon.net/appmon_zh-CHS/detail.php?id=5
5,ゲンゴーモン,zh_hans,2,30,声波兽,超声波 / 工具,True,https://digimon.net/appmon_zh-CHS/detail.php?id=5
5,ゲンゴーモン,zh_hans,3,85,罗亚兽,变声 / 工具,True,https://digimon.net/appmon_zh-CHS/detail.php?id=5
5,ゲンゴーモン,zh_hant,1,31,干擾獸,干擾 / 工具,True,https://digimon.net/appmon_zh-CHT/detail.php?id=5
5,ゲンゴーモン,zh_hant,2,30,音波獸,超音波 / 工具,True,https://digimon.net/appmon_zh-CHT/detail.php?id=5
5,ゲンゴーモン,zh_hant,3,42,電波獸,通訊 / 系統,True,https://digimon.net/appmon_zh-CHT/detail.php?id=5
6,アドモン,ja,1,3,メールモン,メール / ソーシャル,True,https://digimon.net/appmon/detail.php?id=6
6,アドモン,ja,2,79,ソーシャモン,ＳＮＳ / ソーシャル,True,https://digimon.net/appmon/detail.php?id=6
6,アドモン,ja,3,2,コールモン,電話 / ソーシャル,True,https://digimon.net/appmon/detail.php?id=6
6,アドモン,ko,1,2,콜몬,전화 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=6
6,アドモン,ko,2,9,메시몬,메시지 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=6
6,アドモン,ko,3,3,메일몬,메일 / 소셜,True,https://digimon.net/appmon_ko/detail.php?id=6
