directory_name,name_ja,move_order,move_raw
nosferamon,ノスフェラモン,1,ランページバレット
nosferamon,ノスフェラモン,2,アネスシージアゲイズ
artiomon,アルティオモン,1,ドゥームバスター
artiomon,アルティオモン,2,ディキャピテイトクロウ
heliosboamon,ヘリオスボアモン,1,ソウルパラヴライザー
heliosboamon,ヘリオスボアモン,2,レストリクトアイ
habakirimon,ハバキリモン,1,羽々斬（はばきり）
habakirimon,ハバキリモン,2,麁正（あらまさ）
bearcatmon,ベアキャットモン,1,ペネトレイトブロウ
bearcatmon,ベアキャットモン,2,マーダライズラッシュ
bearcatmon,ベアキャットモン,3,ベアダウンスピニングキック
taowumon,タオウーモン,1,氷骸礫(ひょうがいれき)
taowumon,タオウーモン,2,轟蹄崩(ごうていほう)
taowumon,タオウーモン,3,凍烈檮牙(とうれつとうが)
scourgechiropmon,スカージキロプモン,1,トライアンギュレーションスキャン
scourgechiropmon,スカージキロプモン,2,デスペアブラスト
scourgechiropmon,スカージキロプモン,3,エリミネイトレイン
scourgechiropmon,スカージキロプモン,4,サイレントスクリーム
monarchlizamon,モナークリザモン,1,アナイアレイトエッジ
monarchlizamon,モナークリザモン,2,モナークオーディナンス
monarchlizamon,モナークリザモン,3,ファイナルジャッジメント
apollomon_whispered,アポロモン：ウィスパード,1,アロー・オブ・ウィスパード
apollomon_whispered,アポロモン：ウィスパード,2,サン・オブ・ソローズ
kingwhamon,キングホエーモン,1,ウォジェット
kingwhamon,キングホエーモン,2,ライドライト
armamon_burstmode,アルマモン：バーストモード,1,ソード・オブ・メテオ
armamon_burstmode,アルマモン：バーストモード,2,インフィニティソードレイン
armamon,アルマモン,1,マルクトクリスタル
armamon,アルマモン,2,レインボーハンド
armamon,アルマモン,3,ソードマスカレード
shoutmonx5s,シャウトモンX5S,1,スペースチャクラム
shoutmonx5s,シャウトモンX5S,2,ヘリオスラッシャー
shoutmonx5s,シャウトモンX5S,3,コズモビクトリー
vortexdramon,ヴォルテクスドラモン,1,フローズンガスト
vortexdramon,ヴォルテクスドラモン,2,ブレイジングガスト
vortexdramon,ヴォルテクスドラモン,3,レーヴァテイン
shoutmonx4s,シャウトモンX4S,1,ブレイズファイアー
shoutmonx4s,シャウトモンX4S,2,クロスレッド＆ブルー
shoutmonx4s,シャウトモンX4S,3,ビクトリーブレイブ
shoutmonx3sd,シャウトモンX3SD,1,アシッドタイフーン
shoutmonx3sd,シャウトモンX3SD,2,ビリオンスタブ
shoutmonx3gm,シャウトモンX3GM,1,ワイルドバーニング
shoutmonx3gm,シャウトモンX3GM,2,ブリリアンスダガー
shoutmonx3gm,シャウトモンX3GM,3,ブレス・オブ・ペルーン
azhdarmon,アズダルモン,1,トマホークストライク
azhdarmon,アズダルモン,2,トライカーヴレイン
azhdarmon,アズダルモン,3,トリニティライトニング
tengumon,テングモン,1,魔縁斬蹴撃（まえんざんしゅうげき）
tengumon,テングモン,2,尊天大烈風（そんてんだいれっぷう）
amaterasumon,アマテラスモン,1,厳之御魂（いづのみたま）
amaterasumon,アマテラスモン,2,六合照徹閃（りくごうしょうてつせん）
enmamon,エンマモン,1,浄玻璃鏡(じょうはりのかがみ)
enmamon,エンマモン,2,閻羅王降誕（えんらおうごうたん）
seitengokuwmon,セイテンゴクウモン,1,火眼金睛（かがんきんせい）
seitengokuwmon,セイテンゴクウモン,2,八戒炎天撃（はっかいえんてんげき）
seitengokuwmon,セイテンゴクウモン,3,悟浄水天葬（ごじょうすいてんそう）
seitengokuwmon,セイテンゴクウモン,4,超大聖雷天砲（ちょうたいせいらいてんほう）
exmaquinamon,エクスマキナモン,1,エスカトン
dalphomon,ダルフォモン,1,プロフェットオブエリヤ
dalphomon,ダルフォモン,2,ジェイルマオン
dalphomon,ダルフォモン,3,ブルータルヘイロウ
shishimamon,シシマモン,1,光爪神楽（こうそうかぐら）
shishimamon,シシマモン,2,魔祓灼光（まふつのしゃっこう）
darumamon,ダルマモン,1,猛進火達磨（もうしんひだるま）
darumamon,ダルマモン,2,断災達磨落とし（だんさいだるまおとし）
