dm_technique_id,name_ja,first_source_kind,mapping_status
1,ランページバレット,digimon,exact_official_string
2,アネスシージアゲイズ,digimon,exact_official_string
3,ドゥームバスター,digimon,exact_official_string
4,ディキャピテイトクロウ,digimon,exact_official_string
5,ソウルパラヴライザー,digimon,exact_official_string
6,レストリクトアイ,digimon,exact_official_string
7,羽々斬（はばきり）,digimon,exact_official_string
8,麁正（あらまさ）,digimon,exact_official_string
9,ペネトレイトブロウ,digimon,exact_official_string
10,マーダライズラッシュ,digimon,exact_official_string
11,ベアダウンスピニングキック,digimon,exact_official_string
12,氷骸礫(ひょうがいれき),digimon,exact_official_string
13,轟蹄崩(ごうていほう),digimon,exact_official_string
14,凍烈檮牙(とうれつとうが),digimon,exact_official_string
15,トライアンギュレーションスキャン,digimon,exact_official_string
16,デスペアブラスト,digimon,exact_official_string
17,エリミネイトレイン,digimon,exact_official_string
18,サイレントスクリーム,digimon,exact_official_string
19,アナイアレイトエッジ,digimon,exact_official_string
20,モナークオーディナンス,digimon,exact_official_string
21,ファイナルジャッジメント,digimon,exact_official_string
22,アロー・オブ・ウィスパード,digimon,exact_official_string
23,サン・オブ・ソローズ,digimon,exact_official_string
24,ウォジェット,digimon,exact_official_string
25,ライドライト,digimon,exact_official_string
26,ソード・オブ・メテオ,digimon,exact_official_string
27,インフィニティソードレイン,digimon,exact_official_string
28,マルクトクリスタル,digimon,exact_official_string
29,レインボーハンド,digimon,exact_official_string
30,ソードマスカレード,digimon,exact_official_string
31,スペースチャクラム,digimon,exact_official_string
32,ヘリオスラッシャー,digimon,exact_official_string
33,コズモビクトリー,digimon,exact_official_string
34,フローズンガスト,digimon,exact_official_string
35,ブレイジングガスト,digimon,exact_official_string
36,レーヴァテイン,digimon,exact_official_string
37,ブレイズファイアー,digimon,exact_official_string
38,クロスレッド＆ブルー,digimon,exact_official_string
39,ビクトリーブレイブ,digimon,exact_official_string
40,アシッドタイフーン,digimon,exact_official_string
41,ビリオンスタブ,digimon,exact_official_string
42,ワイルドバーニング,digimon,exact_official_string
43,ブリリアンスダガー,digimon,exact_official_string
44,ブレス・オブ・ペルーン,digimon,exact_official_string
45,トマホークストライク,digimon,exact_official_string
46,トライカーヴレイン,digimon,exact_official_string
47,トリニティライトニング,digimon,exact_official_string
48,魔縁斬蹴撃（まえんざんしゅうげき）,digimon,exact_official_string
49,尊天大烈風（そんてんだいれっぷう）,digimon,exact_official_string
50,厳之御魂（いづのみたま）,digimon,exact_official_string
51,六合照徹閃（りくごうしょうてつせん）,digimon,exact_official_string
52,浄玻璃鏡(じょうはりのかがみ),digimon,exact_official_string
53,閻羅王降誕（えんらおうごうたん）,digimon,exact_official_string
54,火眼金睛（かがんきんせい）,digimon,exact_official_string
55,八戒炎天撃（はっかいえんてんげき）,digimon,exact_official_string
56,悟浄水天葬（ごじょうすいてんそう）,digimon,exact_official_string
57,超大聖雷天砲（ちょうたいせいらいてんほう）,digimon,exact_official_string
58,エスカトン,digimon,exact_official_string
59,プロフェットオブエリヤ,digimon,exact_official_string
60,ジェイルマオン,digimon,exact_official_string
61,ブルータルヘイロウ,digimon,exact_official_string
62,光爪神楽（こうそうかぐら）,digimon,exact_official_string
63,魔祓灼光（まふつのしゃっこう）,digimon,exact_official_string
64,猛進火達磨（もうしんひだるま）,digimon,exact_official_string
65,断災達磨落とし（だんさいだるまおとし）,digimon,exact_official_string
66,クリスタルキャノン,digimon,exact_official_string
67,ハンマーストライク,digimon,exact_official_string
68,ノーホープフォール,digimon,exact_official_string
69,クリスタルレイン,digimon,exact_official_string
70,フィンガーボム,digimon,exact_official_string
71,ホーリーフレア,digimon,exact_official_string
72,クロノデヴォリューション,digimon,exact_official_string
73,クロノスクロップ,digimon,exact_official_string
74,日輪の舞,digimon,exact_official_string
75,暁光一閃,digimon,exact_official_string
76,ツバメ二枚返し,digimon,exact_official_string
77,秘剣・飛鳥落とし,digimon,exact_official_string
78,唐竹割り,digimon,exact_official_string
79,秘剣ピヨピヨ斬り,digimon,exact_official_string
80,ピヨピヨ,digimon,exact_official_string
81,ハザードホールド,digimon,exact_official_string
82,ヘルズスライス,digimon,exact_official_string
83,マリオネットアボミネーション,digimon,exact_official_string
84,小判振舞い,digimon,exact_official_string
85,招敵来来拳（しょうてきらいらいけん）,digimon,exact_official_string
86,劈龍爪（へきりゅうそう）,digimon,exact_official_string
87,焔明珠（えんめいしゅ）,digimon,exact_official_string
88,豪狛毬（ごうはくきゅう）,digimon,exact_official_string
89,石土之体（いしづちのてい）,digimon,exact_official_string
90,編笠スピン斬り,digimon,exact_official_string
91,粘溶液（ねんようえき）,digimon,exact_official_string
92,猛冲角（もうちゅうかく）,digimon,exact_official_string
93,岩衝弾（がんしょうだん）,digimon,exact_official_string
94,泿水弾（ぎんすいだん）,digimon,exact_official_string
95,蛟牙（こうが）,digimon,exact_official_string
96,猿攻回転弾（えんこうかいてんだん）,digimon,exact_official_string
97,金絲吼（きんしこう）,digimon,exact_official_string
98,ニュートロンレイザー,digimon,exact_official_string
99,ニュートロンデフューザー,digimon,exact_official_string
100,ニュートロンブレイド,digimon,exact_official_string
101,デスロールプレス,digimon,exact_official_string
102,燐火（りんか）,digimon,exact_official_string
103,ヒノタマ,digimon,exact_official_string
104,黏雲（ねんうん）,digimon,exact_official_string
105,呼雲（こうん）,digimon,exact_official_string
