char,codepoint,script,species_occurrences,technique_occurrences,total_occurrences,examples
（,U+FF08,Other,169,257,426,species:162:バアルモン（X抗体） | species:173:インペリアルドラモン：ファイターモード（黒） | species:174:グレイモン（青）（X抗体）
）,U+FF09,Other,169,254,423,species:162:バアルモン（X抗体） | species:173:インペリアルドラモン：ファイターモード（黒） | species:174:グレイモン（青）（X抗体）
・,U+30FB,Other,1,191,192,species:960:チョ・ハッカイモン | technique:22:アロー・オブ・ウィスパード | technique:22:アロー・オブ・ウィスパード
体,U+4F53,Han,121,1,122,species:162:バアルモン（X抗体） | species:174:グレイモン（青）（X抗体） | species:233:ヘラクルカブテリモン（X抗体）
抗,U+6297,Han,121,0,121,species:162:バアルモン（X抗体） | species:174:グレイモン（青）（X抗体） | species:233:ヘラクルカブテリモン（X抗体）
ヴ,U+30F4,Other,43,69,112,species:16:ヴォルテクスドラモン | species:53:クレニアムモン+アンヴァルモン | species:54:アンヴァルモン
：,U+FF1A,Other,55,1,56,species:11:アポロモン：ウィスパード | species:13:アルマモン：バーストモード | species:30:クロノモン：デストロイモード
Ｘ,U+FF38,Other,33,1,34,species:268:メタルグレイモン（ワクチン種）（Ｘ抗体） | species:269:パンジャモン（Ｘ抗体） | species:270:メタルマメモン（Ｘ抗体）
斬,U+65AC,Han,0,26,26,technique:7:羽々斬（はばきり） | technique:48:魔縁斬蹴撃（まえんざんしゅうげき） | technique:79:秘剣ピヨピヨ斬り
雷,U+96F7,Han,1,24,25,species:126:フェンリルガモン：建御雷神(タケミカヅチ) | technique:57:超大聖雷天砲（ちょうたいせいらいてんほう） | technique:280:終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ）
天,U+5929,Han,0,20,20,technique:49:尊天大烈風（そんてんだいれっぷう） | technique:55:八戒炎天撃（はっかいえんてんげき） | technique:56:悟浄水天葬（ごじょうすいてんそう）
撃,U+6483,Han,0,18,18,technique:48:魔縁斬蹴撃（まえんざんしゅうげき） | technique:55:八戒炎天撃（はっかいえんてんげき） | technique:173:一斉砲撃
剣,U+5263,Han,1,16,17,species:872:アルファモン：王竜剣 | technique:77:秘剣・飛鳥落とし | technique:79:秘剣ピヨピヨ斬り
神,U+795E,Han,1,16,17,species:126:フェンリルガモン：建御雷神(タケミカヅチ) | technique:62:光爪神楽（こうそうかぐら） | technique:126:千塵鬼神斬（せんじんきしんざん）
黒,U+9ED2,Han,12,4,16,species:173:インペリアルドラモン：ファイターモード（黒） | species:302:インペリアルドラモン：ドラゴンモード(黒) | species:414:アグモン（黒）（Ｘ抗体）
破,U+7834,Han,0,15,15,technique:227:爆迅炎戟破 | technique:439:叩破伐倒（こうはばっとう） | technique:586:獄炎破回蹴（ごくえんはかいしゅう）
弾,U+5F3E,Han,0,13,13,technique:93:岩衝弾（がんしょうだん） | technique:94:泿水弾（ぎんすいだん） | technique:96:猿攻回転弾（えんこうかいてんだん）
拳,U+62F3,Han,0,13,13,technique:85:招敵来来拳（しょうてきらいらいけん） | technique:585:鬼瞬轟拳（きしゅんごうけん） | technique:612:氷獣拳
炎,U+708E,Han,0,13,13,technique:55:八戒炎天撃（はっかいえんてんげき） | technique:227:爆迅炎戟破 | technique:288:斧乗炎怒（ふじょうえんど）
王,U+738B,Han,2,11,13,species:257:スカモン大王 | species:872:アルファモン：王竜剣 | technique:53:閻羅王降誕（えんらおうごうたん）
