species_id,source_kind,source_id,name_ja,official_detail_url,official_level_or_grade,official_type_or_app_type,official_attribute,profile_sha256,profile_char_count,evidence_signals,base_hp,base_attack,base_defense,base_speed,base_sp_attack,base_sp_defense,bst,battle_type_1,battle_type_2,battle_type_status,catch_rate,exp_yield,growth_rate,confidence,derivation_version
1,digimon,nosferamon,ノスフェラモン,https://digimon.net/reference/detail.php?directory_name=nosferamon,究極体,アンデッド型,ウィルス,8d6a37e089a0cbb9da532ada4e42eabf5dec01b0b173f04a6aab9dd0f4f94d01,603,hp:生命:+2 ; attack:破壊:+4 ; special_attack:光:+3 ; special_attack:データ:+6 ; special_defense:吸収:+4 ; type:TYPE_GHOST:魂:profile:+4 ; type:TYPE_GHOST:アンデッド:profile:+2 ; type:TYPE_DARK:ダーク:profile:+2 ; type:TYPE_GHOST:アンデッド:official_type:+5 ; type:TYPE_DARK:アンデッド:official_type:+3 ; type_choice:TYPE_GHOST:11 ; growth:official_stage_plus_profile_power:slow,131,140,122,122,162,140,817,TYPE_GHOST,,resolved_profile_evidence,86,304,GROWTH_SLOW,high,profile-derived-v1
2,digimon,artiomon,アルティオモン,https://digimon.net/reference/detail.php?directory_name=artiomon,究極体,獣人型,ワクチン,e64df501cb6a8ee172628c82abf90a4a02a8a36690b5ea0c692b7026d4ea3aa7,520,power:神:+3 ; hp:巨大:+2 ; attack:力:+4 ; attack:槍:+6 ; attack:斬:+3 ; attack:切断:+4 ; special_attack:熱:+2 ; special_defense:守護:+4 ; type:TYPE_GRASS:森:profile:+4 ; type:TYPE_FIGHTING:獣人:official_type:+3 ; type:TYPE_NORMAL:獣人:official_type:+2 ; type_candidate:TYPE_GRASS:4 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:slow,136,204,127,127,136,145,875,TYPE_NORMAL,,unresolved_low_type_evidence,61,345,GROWTH_SLOW,medium,profile-derived-v1
3,digimon,atratusmon,アトラタスモン,https://digimon.net/reference/detail.php?directory_name=atratusmon,究極体,突然変異型,データ,de1f45fef6cecb6b4cd877e2697b56ceb669fdc93c623aa41e52d9982b756500,58,attack:力:+2 ; type:TYPE_NORMAL:突然変異:official_type:+3 ; type_candidate:TYPE_NORMAL:3 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:slow,122,131,122,122,122,122,741,TYPE_NORMAL,,unresolved_low_type_evidence,107,270,GROWTH_SLOW,low,profile-derived-v1
4,digimon,albatusmon,アルバタスモン,https://digimon.net/reference/detail.php?directory_name=albatusmon,究極体,突然変異型,データ,8dae5ff281c51b3362e6273d29f3738661bf139aee3566f87b2e0c7812537ca2,58,attack:力:+2 ; type:TYPE_NORMAL:突然変異:official_type:+3 ; type_candidate:TYPE_NORMAL:3 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:slow,122,131,122,122,122,122,741,TYPE_NORMAL,,unresolved_low_type_evidence,107,270,GROWTH_SLOW,low,profile-derived-v1
5,digimon,heliosboamon,ヘリオスボアモン,https://digimon.net/reference/detail.php?directory_name=heliosboamon,完全体,爬虫類型,データ,d020d763b3ba7893fcdb8e182bce7847819d6f2feaef7fc13538cffe3b8ebc2f,653,speed:高速:+10 ; special_attack:レーザー:+4 ; special_attack:光:+9 ; special_attack:闇:+3 ; special_attack:データ:+6 ; special_defense:吸収:+8 ; type:TYPE_ROCK:石:profile:+2 ; type:TYPE_DARK:闇:profile:+2 ; type:TYPE_DRAGON:爬虫類:official_type:+4 ; type:TYPE_NORMAL:爬虫類:official_type:+1 ; type_candidate:TYPE_DRAGON:4 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:medium_slow,100,100,100,145,199,136,780,TYPE_NORMAL,,unresolved_low_type_evidence,86,311,GROWTH_MEDIUM_SLOW,medium,profile-derived-v1
6,digimon,habakirimon,ハバキリモン,https://digimon.net/reference/detail.php?directory_name=habakirimon,究極体,神人型,ウィルス,e0a46d2b318d35d29cda75e3cd1271ac7d9f7ea241ce51f3b40fd0b9218ff138,689,power:強大:+4 ; power:神:+9 ; hp:巨大:+2 ; attack:力:+6 ; attack:剣:+9 ; attack:刀:+6 ; attack:斬:+9 ; attack:破壊:+12 ; type:TYPE_FIGHTING:剣術:profile:+2 ; type:TYPE_FIGHTING:剣士:profile:+2 ; type:TYPE_GROUND:土:profile:+2 ; type:TYPE_FLYING:翼:profile:+2 ; type:TYPE_FLYING:羽:profile:+4 ; type:TYPE_FLYING:羽:move:+4 ; type:TYPE_GHOST:魂:profile:+6 ; type:TYPE_NORMAL:一般:profile:+2 ; type:TYPE_FAIRY:神人:official_type:+3 ; type:TYPE_FIGHTING:神人:official_type:+2 ; type_choice:TYPE_FLYING:10 ; growth:official_stage_plus_profile_power:slow,154,255,145,145,145,145,989,TYPE_FLYING,,resolved_profile_evidence,11,423,GROWTH_SLOW,high,profile-derived-v1
7,digimon,bearcatmon,ベアキャットモン,https://digimon.net/reference/detail.php?directory_name=bearcatmon,完全体,獣人型,ワクチン,d3c7e1d33dd9a8871ae456a8117fe9773400c1eb90bad3fe3f8a39855b5a0ef9,564,power:弱い:-4 ; attack:力:+6 ; attack:拳:+6 ; attack:キック:+9 ; attack:爪:+3 ; attack:刀:+3 ; speed:スピード:+8 ; speed:加速:+4 ; type:TYPE_FIGHTING:拳:profile:+4 ; type:TYPE_FIGHTING:キック:profile:+4 ; type:TYPE_FIGHTING:キック:move:+4 ; type:TYPE_FLYING:空中:profile:+2 ; type:TYPE_FIGHTING:獣人:official_type:+3 ; type:TYPE_NORMAL:獣人:official_type:+2 ; type_choice:TYPE_FIGHTING:15 ; growth:official_stage_plus_profile_power:medium_slow,93,214,93,147,93,93,733,TYPE_FIGHTING,,resolved_profile_evidence,92,306,GROWTH_MEDIUM_SLOW,high,profile-derived-v1
8,digimon,taowumon,タオウーモン,https://digimon.net/reference/detail.php?directory_name=taowumon,究極体,魔獣型,ウィルス,825dd3f24273eac9c273b2f48bc6d6247f9c751aa5eaacaf0d2c88de6619eee7,438,power:神:+3 ; hp:再生:+4 ; hp:巨大:+2 ; attack:力:+2 ; attack:牙:+9 ; attack:突進:+3 ; attack:叩:+2 ; special_attack:氷:+9 ; special_attack:冷気:+6 ; special_attack:データ:+2 ; special_defense:結界:+5 ; special_defense:再生:+3 ; type:TYPE_GRASS:樹木:profile:+2 ; type:TYPE_ICE:氷:profile:+6 ; type:TYPE_ICE:氷:move:+4 ; type:TYPE_ICE:冷気:profile:+4 ; type:TYPE_ICE:凍:profile:+4 ; type:TYPE_ICE:凍:move:+4 ; type:TYPE_ICE:雪:profile:+2 ; type:TYPE_GROUND:地面:profile:+2 ; type:TYPE_GROUND:地中:profile:+2 ; type:TYPE_NORMAL:獣型:official_type:+4 ; type:TYPE_DARK:魔獣:official_type:+4 ; type:TYPE_NORMAL:魔獣:official_type:+2 ; type_choice:TYPE_ICE:24 ; growth:official_stage_plus_profile_power:slow,154,199,127,127,204,163,974,TYPE_ICE,,resolved_profile_evidence,42,371,GROWTH_SLOW,high,profile-derived-v1
9,digimon,scourgechiropmon,スカージキロプモン,https://digimon.net/reference/detail.php?directory_name=scourgechiropmon,完全体,マシーン型,ウィルス,87baaf470ef0cf96451d466ad188ad34ce10cf8269576bfc52de064e44a9515c,645,attack:力:+4 ; special_attack:データ:+2 ; special_attack:爆発:+3 ; type:TYPE_FLYING:翼:profile:+4 ; type:TYPE_STEEL:マシーン:profile:+2 ; type:TYPE_STEEL:マシーン:official_type:+5 ; type_choice:TYPE_STEEL:7 ; growth:official_stage_plus_profile_power:medium_slow,100,118,100,100,122,100,640,TYPE_STEEL,,resolved_profile_evidence,128,240,GROWTH_MEDIUM_SLOW,medium,profile-derived-v1
10,digimon,monarchlizamon,モナークリザモン,https://digimon.net/reference/detail.php?directory_name=monarchlizamon,完全体,サイボーグ型,データ,5b27aa1691ba544e444e366d1ee4999c5b746c63ea3fa61fcf25c59e8488d5ad,568,power:超高:+3 ; hp:巨大:+4 ; attack:力:+6 ; attack:斧:+3 ; attack:斬:+9 ; speed:高速:+10 ; speed:素早:+5 ; special_attack:エネルギー:+9 ; type:TYPE_FLYING:空中:profile:+2 ; type:TYPE_STEEL:サイボーグ:profile:+2 ; type:TYPE_STEEL:サイボーグ:official_type:+5 ; type_choice:TYPE_STEEL:7 ; growth:official_stage_plus_profile_power:medium_slow,123,186,105,173,146,105,838,TYPE_STEEL,,resolved_profile_evidence,72,328,GROWTH_MEDIUM_SLOW,high,profile-derived-v1
