move_id,name_ja,gameplay_origin,power,accuracy,pp,category,battle_affinity,effect,priority,target,runtime_status
1,ランページバレット,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
2,アネスシージアゲイズ,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
3,ドゥームバスター,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
4,ディキャピテイトクロウ,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
5,ソウルパラヴライザー,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
6,レストリクトアイ,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
7,羽々斬（はばきり）,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
8,麁正（あらまさ）,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
9,ペネトレイトブロウ,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
10,マーダライズラッシュ,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
11,ベアダウンスピニングキック,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
12,氷骸礫(ひょうがいれき),project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
13,轟蹄崩(ごうていほう),project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
14,凍烈檮牙(とうれつとうが),project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
15,トライアンギュレーションスキャン,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
16,デスペアブラスト,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
17,エリミネイトレイン,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
18,サイレントスクリーム,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
19,アナイアレイトエッジ,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
20,モナークオーディナンス,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
21,ファイナルジャッジメント,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
22,アロー・オブ・ウィスパード,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
23,サン・オブ・ソローズ,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
24,ウォジェット,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
25,ライドライト,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
26,ソード・オブ・メテオ,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
27,インフィニティソードレイン,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
28,マルクトクリスタル,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
29,レインボーハンド,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
30,ソードマスカレード,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
31,スペースチャクラム,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
32,ヘリオスラッシャー,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
33,コズモビクトリー,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
34,フローズンガスト,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
35,ブレイジングガスト,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
36,レーヴァテイン,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
37,ブレイズファイアー,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
38,クロスレッド＆ブルー,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
39,ビクトリーブレイブ,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
40,アシッドタイフーン,project_generated_gameplay_v0_noncanonical,70,100,15,special,neutral_v0,hit,0,selected,playtest_parameter_ready
41,ビリオンスタブ,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
42,ワイルドバーニング,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
43,ブリリアンスダガー,project_generated_gameplay_v0_noncanonical,70,100,15,physical,neutral_v0,hit,0,selected,playtest_parameter_ready
