species_id,source_kind,source_id,name_ja,level_or_grade,official_type,official_attribute,base_hp,base_attack,base_defense,base_speed,base_sp_attack,base_sp_defense,battle_type_1,battle_type_2,catch_rate,exp_yield,growth_rate,ability_1,ability_2,ability_hidden,height,weight,evolution_status,graphics_status,cry_status,runtime_status
1,digimon,nosferamon,ノスフェラモン,究極体,アンデッド型,ウィルス,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
2,digimon,artiomon,アルティオモン,究極体,獣人型,ワクチン,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
3,digimon,atratusmon,アトラタスモン,究極体,突然変異型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
4,digimon,albatusmon,アルバタスモン,究極体,突然変異型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
5,digimon,heliosboamon,ヘリオスボアモン,完全体,爬虫類型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
6,digimon,habakirimon,ハバキリモン,究極体,神人型,ウィルス,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
7,digimon,bearcatmon,ベアキャットモン,完全体,獣人型,ワクチン,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
8,digimon,taowumon,タオウーモン,究極体,魔獣型,ウィルス,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
9,digimon,scourgechiropmon,スカージキロプモン,完全体,マシーン型,ウィルス,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
10,digimon,monarchlizamon,モナークリザモン,完全体,サイボーグ型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
11,digimon,apollomon_whispered,アポロモン：ウィスパード,"究極体
(クロスウォーズ)",神人型,ウィルス,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
12,digimon,kingwhamon,キングホエーモン,究極体,水棲哺乳類型,ワクチン,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
13,digimon,armamon_burstmode,アルマモン：バーストモード,"究極体
(クロスウォーズ)",武器型,フリー,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
14,digimon,armamon,アルマモン,"究極体
(クロスウォーズ)",武器型,フリー,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
15,digimon,shoutmonx5s,シャウトモンX5S,"究極体
(クロスウォーズ)",合成型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
16,digimon,vortexdramon,ヴォルテクスドラモン,究極体,鳥竜型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
17,digimon,shoutmonx4s,シャウトモンX4S,"完全体
(クロスウォーズ)",合成型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
18,digimon,shoutmonx3sd,シャウトモンX3SD,"完全体
(クロスウォーズ)",戦士型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
19,digimon,shoutmonx3gm,シャウトモンX3GM,"完全体
(クロスウォーズ)",翼竜型,データ,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
20,digimon,azhdarmon,アズダルモン,完全体,翼竜型,ウィルス,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
21,digimon,tengumon,テングモン,究極体,鳥人型,ウィルス,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
22,digimon,amaterasumon,アマテラスモン,究極体,神人型,ワクチン,,,,,,,,,,,,,,,,,unresolved_source_required,unresolved_asset_required,unresolved_asset_required,blocked_missing_battle_parameters
