kind,id,source_id,name_ja,unicode_codepoints,current_limit,over_limit
species,1,"nosferamon","ノスフェラモン",7,12,false
species,2,"artiomon","アルティオモン",7,12,false
species,3,"atratusmon","アトラタスモン",7,12,false
species,4,"albatusmon","アルバタスモン",7,12,false
species,5,"heliosboamon","ヘリオスボアモン",8,12,false
species,6,"habakirimon","ハバキリモン",6,12,false
species,7,"bearcatmon","ベアキャットモン",8,12,false
species,8,"taowumon","タオウーモン",6,12,false
species,9,"scourgechiropmon","スカージキロプモン",9,12,false
species,10,"monarchlizamon","モナークリザモン",8,12,false
species,11,"apollomon_whispered","アポロモン：ウィスパード",12,12,false
species,12,"kingwhamon","キングホエーモン",8,12,false
species,13,"armamon_burstmode","アルマモン：バーストモード",13,12,true
species,14,"armamon","アルマモン",5,12,false
species,15,"shoutmonx5s","シャウトモンX5S",9,12,false
species,16,"vortexdramon","ヴォルテクスドラモン",10,12,false
species,17,"shoutmonx4s","シャウトモンX4S",9,12,false
species,18,"shoutmonx3sd","シャウトモンX3SD",10,12,false
species,19,"shoutmonx3gm","シャウトモンX3GM",10,12,false
species,20,"azhdarmon","アズダルモン",6,12,false
species,21,"tengumon","テングモン",5,12,false
species,22,"amaterasumon","アマテラスモン",7,12,false
species,23,"enmamon","エンマモン",5,12,false
species,24,"seitengokuwmon","セイテンゴクウモン",9,12,false
species,25,"exmaquinamon","エクスマキナモン",8,12,false
species,26,"dalphomon","ダルフォモン",6,12,false
species,27,"shishimamon","シシマモン",5,12,false
species,28,"darumamon","ダルマモン",5,12,false
species,29,"rhamphomon","ランフォモン",6,12,false
species,30,"chronomon_destroy","クロノモン：デストロイモード",14,12,true
species,31,"chronomon_holy","クロノモン：ホーリーモード",13,12,true
species,32,"butenmon","ブテンモン",5,12,false
species,33,"buraimon","ブライモン",5,12,false
species,34,"hyokomon","ヒョコモン",5,12,false
species,35,"chicchimon","チッチモン",5,12,false
species,36,"zombieplutomon","ゾンビプルートモン",9,12,false
species,37,"manekimon","マネキモン",5,12,false
species,38,"hakubamon","ハクバモン",5,12,false
species,39,"wankomon","ワンコモン",5,12,false
species,40,"gasamon","ガサモン",4,12,false
species,41,"takinmon","ターキモン",5,12,false
species,42,"fujamon","フージャモン",6,12,false
species,43,"kakamon","カカモン",4,12,false
species,44,"armalizamon","アルマリザモン",7,12,false
species,45,"onibimon","オニビモン",5,12,false
species,46,"tomorimon","トモリモン",5,12,false
species,47,"mococomon","モココモン",5,12,false
species,48,"fukamon","フカモン",4,12,false
species,49,"parallelmon","パラレルモン",6,12,false
species,50,"nightchiropmon","ナイトキロプモン",8,12,false
species,51,"styracomon","スティラコモン",7,12,false
species,52,"taotiemon","タオティエモン",7,12,false
