emerald_species_id,source_kind,source_id,source_numeric_id,name_ja,name_localized,level_or_grade,official_type,official_attribute,source_url
1,digimon,nosferamon,,ノスフェラモン,NOSFERAMON,究極体,アンデッド型,ウィルス,https://digimon.net/reference/detail.php?directory_name=nosferamon
2,digimon,artiomon,,アルティオモン,ARTIOMON,究極体,獣人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=artiomon
3,digimon,atratusmon,,アトラタスモン,ATRATUSMON,究極体,突然変異型,データ,https://digimon.net/reference/detail.php?directory_name=atratusmon
4,digimon,albatusmon,,アルバタスモン,ALBATUSMON,究極体,突然変異型,データ,https://digimon.net/reference/detail.php?directory_name=albatusmon
5,digimon,heliosboamon,,ヘリオスボアモン,HELIOSBOAMON,完全体,爬虫類型,データ,https://digimon.net/reference/detail.php?directory_name=heliosboamon
6,digimon,habakirimon,,ハバキリモン,HABAKIRIMON,究極体,神人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=habakirimon
7,digimon,bearcatmon,,ベアキャットモン,BEARCATMON,完全体,獣人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=bearcatmon
8,digimon,taowumon,,タオウーモン,TAOWUMON,究極体,魔獣型,ウィルス,https://digimon.net/reference/detail.php?directory_name=taowumon
9,digimon,scourgechiropmon,,スカージキロプモン,SCOURGECHIROPMON,完全体,マシーン型,ウィルス,https://digimon.net/reference/detail.php?directory_name=scourgechiropmon
10,digimon,monarchlizamon,,モナークリザモン,MONARCHLIZAMON,完全体,サイボーグ型,データ,https://digimon.net/reference/detail.php?directory_name=monarchlizamon
11,digimon,apollomon_whispered,,アポロモン：ウィスパード,APOLLOMON：WHISPERED,"究極体
(クロスウォーズ)",神人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=apollomon_whispered
12,digimon,kingwhamon,,キングホエーモン,KINGWHAMON,究極体,水棲哺乳類型,ワクチン,https://digimon.net/reference/detail.php?directory_name=kingwhamon
13,digimon,armamon_burstmode,,アルマモン：バーストモード,ARMAMON:BURSTMODE,"究極体
(クロスウォーズ)",武器型,フリー,https://digimon.net/reference/detail.php?directory_name=armamon_burstmode
14,digimon,armamon,,アルマモン,ARMAMON,"究極体
(クロスウォーズ)",武器型,フリー,https://digimon.net/reference/detail.php?directory_name=armamon
15,digimon,shoutmonx5s,,シャウトモンX5S,SHOUTMONX5S,"究極体
(クロスウォーズ)",合成型,データ,https://digimon.net/reference/detail.php?directory_name=shoutmonx5s
16,digimon,vortexdramon,,ヴォルテクスドラモン,VORTEXDRAMON,究極体,鳥竜型,データ,https://digimon.net/reference/detail.php?directory_name=vortexdramon
17,digimon,shoutmonx4s,,シャウトモンX4S,SHOUTMONX4S,"完全体
(クロスウォーズ)",合成型,データ,https://digimon.net/reference/detail.php?directory_name=shoutmonx4s
18,digimon,shoutmonx3sd,,シャウトモンX3SD,SHOUTMONX3SD,"完全体
(クロスウォーズ)",戦士型,データ,https://digimon.net/reference/detail.php?directory_name=shoutmonx3sd
19,digimon,shoutmonx3gm,,シャウトモンX3GM,SHOUTMONX3GM,"完全体
(クロスウォーズ)",翼竜型,データ,https://digimon.net/reference/detail.php?directory_name=shoutmonx3gm
20,digimon,azhdarmon,,アズダルモン,AZHDARMON,完全体,翼竜型,ウィルス,https://digimon.net/reference/detail.php?directory_name=azhdarmon
21,digimon,tengumon,,テングモン,TENGUMON,究極体,鳥人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=tengumon
22,digimon,amaterasumon,,アマテラスモン,AMATERASUMON,究極体,神人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=amaterasumon
23,digimon,enmamon,,エンマモン,ENMAMON,究極体,魔王型,ウィルス,https://digimon.net/reference/detail.php?directory_name=enmamon
24,digimon,seitengokuwmon,,セイテンゴクウモン,SEITENGOKUWMON,究極体,如来型,ウィルス,https://digimon.net/reference/detail.php?directory_name=seitengokuwmon
25,digimon,exmaquinamon,,エクスマキナモン,EXMAQUINAMON,究極体,特異型,データ,https://digimon.net/reference/detail.php?directory_name=exmaquinamon
26,digimon,dalphomon,,ダルフォモン,DALPHOMON,究極体,獣型,ウィルス,https://digimon.net/reference/detail.php?directory_name=dalphomon
27,digimon,shishimamon,,シシマモン,SHISHIMAMON,完全体,聖獣型,ワクチン,https://digimon.net/reference/detail.php?directory_name=shishimamon
28,digimon,darumamon,,ダルマモン,DARUMAMON,完全体,突然変異型,ワクチン,https://digimon.net/reference/detail.php?directory_name=darumamon
29,digimon,rhamphomon,,ランフォモン,RHAMPHOMON,成熟期,翼竜型,ウィルス,https://digimon.net/reference/detail.php?directory_name=rhamphomon
30,digimon,chronomon_destroy,,クロノモン：デストロイモード,CHRONOMON：DESTROYMODE,究極体,神人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=chronomon_destroy
31,digimon,chronomon_holy,,クロノモン：ホーリーモード,CHRONOMON：HOLYMODE,究極体,神人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=chronomon_holy
32,digimon,butenmon,,ブテンモン,BUTENMON,完全体,神人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=butenmon
33,digimon,buraimon,,ブライモン,BURAIMON,成熟期,鳥人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=buraimon
34,digimon,hyokomon,,ヒョコモン,HYOKOMON,成長期,ヒナ鳥型,ワクチン,https://digimon.net/reference/detail.php?directory_name=hyokomon
35,digimon,chicchimon,,チッチモン,CHICCHIMON,幼年期Ⅱ,ヒナ鳥型,,https://digimon.net/reference/detail.php?directory_name=chicchimon
36,digimon,zombieplutomon,,ゾンビプルートモン,ZOMBIEPLUTOMON,究極体,アンデッド型,ウィルス,https://digimon.net/reference/detail.php?directory_name=zombieplutomon
37,digimon,manekimon,,マネキモン,MANEKIMON,成熟期,パペット型,ワクチン,https://digimon.net/reference/detail.php?directory_name=manekimon
38,digimon,hakubamon,,ハクバモン,HAKUBAMON,成熟期,聖獣型,ワクチン,https://digimon.net/reference/detail.php?directory_name=hakubamon
39,digimon,wankomon,,ワンコモン,WANKOMON,成長期,獣型,ワクチン,https://digimon.net/reference/detail.php?directory_name=wankomon
40,digimon,gasamon,,ガサモン,GASAMON,成長期,軟体型,ウィルス,https://digimon.net/reference/detail.php?directory_name=gasamon
41,digimon,takinmon,,ターキモン,TAKINMON,成長期,獣型,ワクチン,https://digimon.net/reference/detail.php?directory_name=takinmon
42,digimon,fujamon,,フージャモン,FUJAMON,成長期,水棲型,ウィルス,https://digimon.net/reference/detail.php?directory_name=fujamon
43,digimon,kakamon,,カカモン,KAKAMON,成長期,獣型,ワクチン,https://digimon.net/reference/detail.php?directory_name=kakamon
44,digimon,armalizamon,,アルマリザモン,ARMALIZAMON,成熟期,爬虫類型,データ,https://digimon.net/reference/detail.php?directory_name=armalizamon
45,digimon,onibimon,,オニビモン,ONIBIMON,幼年期Ⅱ,ゴースト型,,https://digimon.net/reference/detail.php?directory_name=onibimon
46,digimon,tomorimon,,トモリモン,TOMORIMON,幼年期Ⅰ,ゴースト型,,https://digimon.net/reference/detail.php?directory_name=tomorimon
47,digimon,mococomon,,モココモン,MOCOCOMON,幼年期Ⅱ,スモーク型,,https://digimon.net/reference/detail.php?directory_name=mococomon
48,digimon,fukamon,,フカモン,FUKAMON,幼年期Ⅰ,スモーク型,,https://digimon.net/reference/detail.php?directory_name=fukamon
49,digimon,parallelmon,,パラレルモン,PARALLELMON,究極体,突然変異型,ウィルス,https://digimon.net/reference/detail.php?directory_name=parallelmon
50,digimon,nightchiropmon,,ナイトキロプモン,NIGHTCHIROPMON,成熟期,獣人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=nightchiropmon
51,digimon,styracomon,,スティラコモン,STYRACOMON,究極体,竜人型,データ,https://digimon.net/reference/detail.php?directory_name=styracomon
52,digimon,taotiemon,,タオティエモン,TAOTIEMON,究極体,鬼人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=taotiemon
53,digimon,craniummon_enbarrmon,,クレニアムモン+アンヴァルモン,CRANIUMMON + ENBARRMON,究極体,聖騎士型,ワクチン,https://digimon.net/reference/detail.php?directory_name=craniummon_enbarrmon
54,digimon,enbarrmon,,アンヴァルモン,ENBARRMON,完全体,アンデッド型,データ,https://digimon.net/reference/detail.php?directory_name=enbarrmon
55,digimon,metatromon,,メタトロモン,METATROMON,究極体,マシーン型,ワクチン,https://digimon.net/reference/detail.php?directory_name=metatromon
56,digimon,greatgryzmon,,グレートグリズモン,GREATGRYZMON,完全体,獣人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=greatgryzmon
57,digimon,titamon_skullbaluchimon,,タイタモン+スカルバルキモン,TITAMON+SKULLBALUCHIMON,究極体,神人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=titamon_skullbaluchimon
58,digimon,cougarmon,,クーガモン,COUGARMON,成熟期,哺乳類型,ウィルス,https://digimon.net/reference/detail.php?directory_name=cougarmon
59,digimon,masterblimpmon,,マスターブリンプモン,MASTERBLIMPMON,完全体,マシーン型,データ,https://digimon.net/reference/detail.php?directory_name=masterblimpmon
60,digimon,hyemon,,ハイエモン,HYEMON,成長期,獣型,データ,https://digimon.net/reference/detail.php?directory_name=hyemon
61,digimon,murasamemon,,ムラサメモン,MURASAMEMON,完全体,獣人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=murasamemon
62,digimon,wolvermon,,ウルヴァモン,WOLVERMON,成熟期,サイボーグ型,ワクチン,https://digimon.net/reference/detail.php?directory_name=wolvermon
63,digimon,chiropmon,,キロプモン,CHIROPMON,成長期,哺乳類型,ウィルス,https://digimon.net/reference/detail.php?directory_name=chiropmon
64,digimon,pristimon,,プリスティモン,PRISTIMON,成長期,パペット型,ワクチン,https://digimon.net/reference/detail.php?directory_name=pristimon
65,digimon,dullahamon,,デュラハモン,DULLAHAMON,究極体,ゴースト型,データ,https://digimon.net/reference/detail.php?directory_name=dullahamon
66,digimon,gekkomon,,ゲッコーモン,GEKKOMON,成長期,爬虫類型,データ,https://digimon.net/reference/detail.php?directory_name=gekkomon
67,digimon,kekkomon,,ケッコモン,KEKKOMON,幼年期Ⅱ,レッサー型,,https://digimon.net/reference/detail.php?directory_name=kekkomon
68,digimon,kekomon,,ケコモン,KEKOMON,幼年期Ⅰ,スライム型,,https://digimon.net/reference/detail.php?directory_name=kekomon
69,digimon,magneticdramon,,マグネティックドラモン,MAGNETICDRAMON,究極体,岩竜型,ウィルス,https://digimon.net/reference/detail.php?directory_name=magneticdramon
70,digimon,maneuvermon,,マニューバモン,MANEUVERMON,完全体,獣型,ウィルス,https://digimon.net/reference/detail.php?directory_name=maneuvermon
71,digimon,turbomon,,ターボモン,TURBOMON,成熟期,獣型,ウィルス,https://digimon.net/reference/detail.php?directory_name=turbomon
72,digimon,nyabootmon,,ニャブートモン,NYABOOTMON,究極体,パペット型,ウィルス,https://digimon.net/reference/detail.php?directory_name=nyabootmon
73,digimon,yihumon,,イーフーモン,YIHUMON,究極体,獣人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=yihumon
74,digimon,ariemon,,アリエモン,ARIEMON,究極体,水棲型,データ,https://digimon.net/reference/detail.php?directory_name=ariemon
75,digimon,skullseadramon,,スカルシードラモン,SKULLSEADRAMON,完全体,アンデッド型,ウィルス,https://digimon.net/reference/detail.php?directory_name=skullseadramon
76,digimon,sharkmon,,シャークモン,SHARKMON,完全体,サイボーグ型,ウィルス,https://digimon.net/reference/detail.php?directory_name=sharkmon
77,digimon,kaguyamon,,カグヤモン,KAGUYAMON,究極体,パペット型,データ,https://digimon.net/reference/detail.php?directory_name=kaguyamon
78,digimon,karakurumon,,カラクルモン,KARAKURUMON,完全体,パペット型,データ,https://digimon.net/reference/detail.php?directory_name=karakurumon
79,digimon,kokeshimon,,コケシモン,KOKESHIMON,成熟期,パペット型,データ,https://digimon.net/reference/detail.php?directory_name=kokeshimon
80,digimon,hanimon,,ハニモン,HANIMON,成長期,パペット型,データ,https://digimon.net/reference/detail.php?directory_name=hanimon
81,digimon,mockingbirdmon,,モッキンバーモン,MOCKINGBIRDMON,完全体,マシーン型,ワクチン,https://digimon.net/reference/detail.php?directory_name=mockingbirdmon
82,digimon,mulemon,,ミュールモン,MULEMON,成熟期,マシーン型,ワクチン,https://digimon.net/reference/detail.php?directory_name=mulemon
83,digimon,maquinamon,,マキナモン,MAQUINAMON,成長期,合成型,データ,https://digimon.net/reference/detail.php?directory_name=maquinamon
84,digimon,nazhamon_crimson,,ナタモン：クリムゾンモード,NEZHAMON：CRIMSONMODE,究極体,サイボーグ型,データ,https://digimon.net/reference/detail.php?directory_name=nazhamon_crimson
85,digimon,shagaramon,,シャガラモン,SHAGARAMON,究極体,聖竜型,データ,https://digimon.net/reference/detail.php?directory_name=shagaramon
86,digimon,medusamon,,メデューサモン,MEDUSAMON,究極体,竜人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=medusamon
87,digimon,lamiamon,,ラミアモン,LAMIAMON,完全体,竜人型,ウィルス,https://digimon.net/reference/detail.php?directory_name=lamiamon
88,digimon,necromon,,ネクロモン,NECROMON,究極体,ゴースト型,ウィルス,https://digimon.net/reference/detail.php?directory_name=necromon
89,digimon,jougamon,,ジョウガモン,JOUGAMON,究極体,神人型,ワクチン,https://digimon.net/reference/detail.php?directory_name=jougamon
90,digimon,pyramidimon,,ピラミディモン,PYRAMIDIMON,究極体,鉱物型,ウィルス,https://digimon.net/reference/detail.php?directory_name=pyramidimon
91,digimon,proganomon,,プロガノモン,PROGANOMON,完全体,鉱物型,ウィルス,https://digimon.net/reference/detail.php?directory_name=proganomon
92,digimon,landramon,,ランドラモン,LANDRAMON,成熟期,鉱物型,ウィルス,https://digimon.net/reference/detail.php?directory_name=landramon
93,digimon,invisimon,,インビジモン,INVISIMON,究極体,サイボーグ型,ウィルス,https://digimon.net/reference/detail.php?directory_name=invisimon
94,digimon,oblivimon,,オブリビモン,OBLIVIMON,完全体,サイボーグ型,ウィルス,https://digimon.net/reference/detail.php?directory_name=oblivimon
